Figure 1.10 Pedestrian casualties by age and degree of injury 2019,,,,
Last updated on 28.10.2020,,,,
,,,,
Age,Degree of injury: Killed,Degree of injury: Seriously injured,Degree of injury: Slightly injured,Degree of injury: All
Under 5,0,3,29,32
5 - 9,0,15,74,89
10 - 14,1,28,86,115
15 - 19,0,24,64,88
20 - 24,1,18,102,121
25 - 29,2,25,121,148
30 - 34,3,14,134,151
35 - 39,1,32,145,178
40 - 44,2,29,154,185
45 - 49,0,38,168,206
50 - 54,2,35,186,223
55 - 59,3,42,186,231
60 - 64,8,49,207,264
65 - 69,6,62,175,243
70 - 74,5,49,125,179
75 - 79,4,36,93,133
80 - 84,10,47,76,133
85 & over,9,33,64,106
Unknown,0,0,80,80
All,57,579,2269,2905
