Figure 1.11 Pedestrian casualties by age and sex 2019,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Age,No. of pedestrian casualties (Male),Mid-year population (Male) ('000),Pedestrian casualties per 1 000 population (Male),No. of pedestrian casualties (Female),Mid-year population (Female) ('000),Pedestrian casualties per 1 000 population (Female),No. of pedestrian casualties (Unknown sex),No. of pedestrian casualties (All),Mid-year population (All) ('000),Pedestrian casualties per 1 000 population (All)
Under 5,22,144.1,0.15,10,133.5,0.07,0,32,277.6,0.12
5 - 9,51,158.7,0.32,37,148.9,0.25,1,89,307.6,0.29
10 - 14,72,147.9,0.49,43,141.8,0.30,0,115,289.7,0.40
15 - 19,50,146.4,0.34,38,139.2,0.27,0,88,285.6,0.31
20 - 24,53,204.2,0.26,68,209.3,0.32,0,121,413.5,0.29
25 - 29,70,226.3,0.31,78,265.4,0.29,0,148,491.7,0.30
30 - 34,88,227.7,0.39,63,329.4,0.19,0,151,557.1,0.27
35 - 39,87,238.2,0.37,91,373,0.24,0,178,611.2,0.29
40 - 44,89,227,0.39,96,339.6,0.28,0,185,566.6,0.33
45 - 49,106,242.2,0.44,100,340,0.29,0,206,582.2,0.35
50 - 54,107,254.8,0.42,116,325.1,0.36,0,223,579.9,0.38
55 - 59,111,306.3,0.36,120,341.6,0.35,0,231,647.9,0.36
60 - 64,125,283.1,0.44,139,291.7,0.48,0,264,574.8,0.46
65 - 69,113,217.6,0.52,130,226.4,0.57,0,243,444,0.55
70 - 74,79,151.3,0.52,100,156.3,0.64,0,179,307.6,0.58
75 - 79,62,95.4,0.65,70,95.3,0.73,1,133,190.7,0.70
80 - 84,66,78.4,0.84,67,95,0.71,0,133,173.4,0.77
85 & over,49,73.4,0.67,57,132.9,0.43,0,106,206.3,0.51
Unknown,36,-,- ,42,-,- ,2,80,-,- 
All,1436,3423,0.42,1465,4084.4,0.36,4,2905,7507.4,0.39
