Figure 1.13 Pedestrian fatalities by age 2019,,,
Last updated on 28.10.2020,,,
,,,
,,,
Age,Killed pedestrian,Mid-year population ('000),Pedestrian fatalities per 1 000 000 population
Under 5,0,277.6,0.00
5 - 9,0,307.6,0.00
10 - 14,1,289.7,3.45
15 - 19,0,285.6,0.00
20 - 24,1,413.5,2.42
25 - 29,2,491.7,4.07
30 - 34,3,557.1,5.39
35 - 39,1,611.2,1.64
40 - 44,2,566.6,3.53
45 - 49,0,582.2,0.00
50 - 54,2,579.9,3.45
55 - 59,3,647.9,4.63
60 - 64,8,574.8,13.92
65 - 69,6,444.0,13.51
70 - 74,5,307.6,16.25
75 - 79,4,190.7,20.98
80 - 84,10,173.4,57.67
85 & over,9,206.3,43.63
All,57,7 507.4,7.59
