Figure 1.1 Road traffic casualties by age (2009 - 2019),,,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Age,Item,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Under 5,Number,254,250,285,267,330,314,322,306,286,222,189,
Under 5,Number per 1000 population,1.12,1.05,1.14,1.02,1.27,1.18,1.14,1.09,1.03,0.80,0.68,
5 - 9,Number,441,471,461,494,506,504,450,409,361,379,321,
5 - 9,Number per 1000 population,1.68,1.86,1.90,2.02,2.04,1.92,1.61,1.40,1.18,1.23,1.04,
10 - 14,Number,558,580,600,557,510,506,448,370,384,367,371,
10 - 14,Number per 1000 population,1.49,1.64,1.81,1.82,1.77,1.84,1.69,1.43,1.46,1.34,1.28,
15 - 19,Number,647,724,703,689,725,640,682,537,478,457,418,
15 - 19,Number per 1000 population,1.50,1.69,1.66,1.64,1.79,1.66,1.88,1.58,1.51,1.52,1.46,
20 - 24,Number,1385,1273,1366,1360,1417,1323,1313,1299,1267,1108,1059,
20 - 24,Number per 1000 population,3.05,2.82,3.03,2.97,3.10,2.93,2.93,2.92,2.87,2.57,2.56,
25 - 29,Number,2195,2019,1961,1994,1969,1934,1926,1814,1819,1741,1924,
25 - 29,Number per 1000 population,4.12,3.77,3.67,3.77,3.81,3.76,3.75,3.56,3.60,3.47,3.91,
30 - 34,Number,2002,2089,2168,2265,2242,2140,2123,2165,2033,1962,2047,
30 - 34,Number per 1000 population,3.74,3.87,3.94,4.04,3.91,3.70,3.67,3.75,3.57,3.51,3.67,
35 - 39,Number,1756,1966,1952,2013,2039,1900,2099,2122,1989,2067,2222,
35 - 39,Number per 1000 population,3.07,3.44,3.47,3.56,3.65,3.42,3.75,3.71,3.42,3.45,3.64,
40 - 44,Number,1657,1749,1804,1803,1843,1819,1917,1810,1914,1848,1923,
40 - 44,Number per 1000 population,2.78,3.02,3.15,3.13,3.19,3.15,3.31,3.18,3.35,3.27,3.39,
45 - 49,Number,1768,1880,1964,1903,1796,1788,1724,1745,1640,1768,1788,
45 - 49,Number per 1000 population,2.64,2.82,3.01,2.99,2.95,3.05,3.03,3.08,2.88,3.07,3.07,
50 - 54,Number,1671,1859,1906,1918,2093,1901,1952,1948,1846,1730,1762,
50 - 54,Number per 1000 population,2.76,2.97,2.99,2.99,3.20,2.89,2.98,3.03,2.95,2.90,3.04,
55 - 59,Number,1229,1416,1632,1704,1767,1743,1860,1939,1865,1842,1825,
55 - 59,Number per 1000 population,2.58,2.88,3.18,3.15,3.10,2.95,3.05,3.11,2.97,2.87,2.82,
60 - 64,Number,782,890,1041,1129,1195,1241,1279,1357,1431,1526,1572,
60 - 64,Number per 1000 population,2.33,2.37,2.54,2.63,2.70,2.70,2.70,2.74,2.74,2.77,2.73,
65 - 69,Number,411,450,482,553,644,713,811,879,939,978,1077,
65 - 69,Number per 1000 population,1.84,1.99,2.06,2.09,2.18,2.19,2.23,2.22,2.28,2.29,2.43,
70 - 74,Number,431,364,420,395,435,422,409,436,489,518,611,
70 - 74,Number per 1000 population,1.84,1.56,1.82,1.79,2.04,2.00,1.91,1.97,1.96,1.85,1.99,
75 - 79,Number,353,418,385,373,385,399,386,336,303,325,314,
75 - 79,Number per 1000 population,1.75,2.05,1.88,1.79,1.83,1.91,1.84,1.63,1.53,1.70,1.65,
80 - 84,Number,235,265,277,284,327,269,332,321,288,281,289,
80 - 84,Number per 1000 population,1.81,1.93,1.90,1.88,2.07,1.63,2.00,1.92,1.68,1.62,1.67,
85 & over,Number,141,157,178,216,192,181,225,197,221,247,216,
85 & over,Number per 1000 population,1.28,1.34,1.42,1.61,1.33,1.19,1.39,1.14,1.21,1.27,1.05,
Unknown,Number,222,304,218,293,181,117,123,142,335,271,290,
All,Number,18138,19124,19803,20210,20596,19854,20381,20132,19888,19637,20218,
All,Number per 1000 population,2.60,2.72,2.80,2.83,2.87,2.75,2.80,2.74,2.69,2.64,2.69,
