Figure 1.2 Road traffic casualties by age and class of road user (2009 - 2019),,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Age,Class of road user,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Under 20,Pedestrian,592,632,592,554,519,550,479,436,404,388,324
Under 20,Passenger,804,826,884,855,951,853,756,713,704,606,572
Under 20,Driver (All),504,567,573,598,601,561,667,473,401,431,403
Under 20,Driver (Motor cyclist),7,8,11,5,15,8,11,8,9,5,13
Under 20,Driver (Cyclist),468,539,541,580,564,541,632,447,382,412,384
Under 20,All,1900,2025,2049,2007,2071,1964,1902,1622,1509,1425,1299
20 - 39,Pedestrian,939,1079,920,987,931,871,781,804,662,668,598
20 - 39,Passenger,2367,2328,2316,2417,2535,2262,2310,2293,2229,1986,2124
20 - 39,Driver (All),4032,3940,4211,4228,4201,4164,4370,4303,4217,4224,4530
20 - 39,Driver (Motor cyclist),1679,1490,1446,1349,1297,1296,1288,1278,1190,1240,1331
20 - 39,Driver (Cyclist),550,575,835,934,900,824,810,636,544,473,404
20 - 39,All,7338,7347,7447,7632,7667,7297,7461,7400,7108,6878,7252
40 - 59,Pedestrian,1097,1173,1237,1165,1198,1135,1128,1038,958,959,845
40 - 59,Passenger,1891,2083,2164,2171,2288,2184,2198,2136,2010,1830,1876
40 - 59,Driver (All),3337,3648,3905,3992,4013,3932,4127,4268,4297,4399,4577
40 - 59,Driver (Motor cyclist),660,694,659,693,683,759,771,810,809,890,983
40 - 59,Driver (Cyclist),435,483,640,698,727,711,700,663,578,519,543
40 - 59,All,6325,6904,7306,7328,7499,7251,7453,7442,7265,7188,7298
60 & over,Pedestrian,871,914,1001,1026,978,1001,1092,1104,1064,1116,1058
60 & over,Passenger,979,1065,1126,1163,1358,1295,1388,1270,1373,1442,1460
60 & over,Driver (All),503,565,656,761,842,929,962,1152,1234,1317,1561
60 & over,Driver (Motor cyclist),21,31,30,25,46,50,66,81,100,81,134
60 & over,Driver (Cyclist),121,165,172,224,221,235,252,230,271,277,285
60 & over,All,2353,2544,2783,2950,3178,3225,3442,3526,3671,3875,4079
Unknown age,Pedestrian,84,100,90,90,68,47,33,47,102,75,80
Unknown age,Passenger,130,194,122,196,112,66,87,93,225,187,198
Unknown age,Driver (All),8,10,6,7,1,4,3,2,8,9,12
Unknown age,Driver (Motor cyclist),1,1,0,0,0,0,0,0,1,1,0
Unknown age,Driver (Cyclist),7,6,6,6,1,4,1,2,4,6,9
Unknown age,All,222,304,218,293,181,117,123,142,335,271,290
All ages,Pedestrian,3583,3898,3840,3822,3694,3604,3513,3429,3190,3206,2905
All ages,Passenger,6171,6496,6612,6802,7244,6660,6739,6505,6541,6051,6230
All ages,Driver (All),8384,8730,9351,9586,9658,9590,10129,10198,10157,10380,11083
All ages,Driver (Motor cyclist),2368,2224,2146,2072,2041,2113,2136,2177,2109,2217,2461
All ages,Driver (Cyclist),1581,1768,2194,2442,2413,2315,2395,1978,1779,1687,1625
All ages,All,18138,19124,19803,20210,20596,19854,20381,20132,19888,19637,20218
