Figure 1.3 Pedestrian casualties by age (2009 - 2019),,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Age,Item,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Under 5 ,Number,54,48,58,59,63,62,66,66,52,47,32
Under 5 ,Number per 1000 population,0.24,0.20,0.23,0.22,0.24,0.23,0.23,0.24,0.19,0.17,0.12
5 - 9,Number,134,157,139,123,113,143,137,129,93,114,89
5 - 9,Number per 1000 population,0.51,0.62,0.57,0.50,0.46,0.54,0.49,0.44,0.31,0.37,0.29
10 - 14,Number,218,234,214,205,193,181,137,119,155,136,115
10 - 14,Number per 1000 population,0.58,0.66,0.65,0.67,0.67,0.66,0.52,0.46,0.59,0.50,0.40
15 - 19 ,Number,186,193,181,167,150,164,139,122,104,91,88
15 - 19 ,Number per 1000 population,0.43,0.45,0.43,0.40,0.37,0.42,0.38,0.36,0.33,0.30,0.31
20 - 24 ,Number,198,231,205,212,197,201,170,175,145,160,121
20 - 24 ,Number per 1000 population,0.44,0.51,0.45,0.46,0.43,0.45,0.38,0.39,0.33,0.37,0.29
25 - 29 ,Number,234,264,239,259,219,214,195,206,178,156,148
25 - 29 ,Number per 1000 population,0.44,0.49,0.45,0.49,0.42,0.42,0.38,0.40,0.35,0.31,0.30
30 - 34 ,Number,269,288,242,263,263,252,190,206,149,166,151
30 - 34 ,Number per 1000 population,0.50,0.53,0.44,0.47,0.46,0.44,0.33,0.36,0.26,0.30,0.27
35 - 39 ,Number,238,296,234,253,252,204,226,217,190,186,178
35 - 39 ,Number per 1000 population,0.42,0.52,0.42,0.45,0.45,0.37,0.40,0.38,0.33,0.31,0.29
40 - 44 ,Number,246,268,295,247,240,281,261,232,229,213,185
40 - 44 ,Number per 1000 population,0.41,0.46,0.52,0.43,0.42,0.49,0.45,0.41,0.40,0.38,0.33
45 - 49 ,Number,298,276,287,273,267,268,262,238,202,251,206
45 - 49 ,Number per 1000 population,0.44,0.41,0.44,0.43,0.44,0.46,0.46,0.42,0.35,0.44,0.35
50 - 54 ,Number,287,329,331,321,347,290,273,280,234,233,223
50 - 54 ,Number per 1000 population,0.47,0.53,0.52,0.50,0.53,0.44,0.42,0.44,0.37,0.39,0.38
55 - 59 ,Number,266,300,324,324,344,296,332,288,293,262,231
55 - 59 ,Number per 1000 population,0.56,0.61,0.63,0.60,0.60,0.50,0.54,0.46,0.47,0.41,0.36
60 - 64,Number,185,226,258,278,230,270,274,264,284,277,264
60 - 64,Number per 1000 population,0.55,0.60,0.63,0.65,0.52,0.59,0.58,0.53,0.54,0.50,0.46
65 - 69 ,Number,126,144,162,169,156,188,228,242,236,265,243
65 - 69 ,Number per 1000 population,0.56,0.64,0.69,0.64,0.53,0.58,0.63,0.61,0.57,0.62,0.55
70 - 74 ,Number,188,137,160,159,168,157,142,165,156,178,179
70 - 74 ,Number per 1000 population,0.80,0.59,0.69,0.72,0.79,0.74,0.66,0.75,0.62,0.64,0.58
75 - 79 ,Number,174,187,167,157,169,169,155,161,135,133,133
75 - 79 ,Number per 1000 population,0.86,0.92,0.81,0.75,0.80,0.81,0.74,0.78,0.68,0.69,0.70
80 - 84 ,Number,122,141,147,140,149,119,171,165,138,144,133
80 - 84 ,Number per 1000 population,0.94,1.03,1.01,0.93,0.95,0.72,1.03,0.99,0.81,0.83,0.77
85 & over ,Number,76,79,107,123,106,98,122,107,115,119,106
85 & over ,Number per 1000 population,0.69,0.67,0.85,0.91,0.74,0.64,0.75,0.62,0.63,0.61,0.51
Unknown ,Number,84,100,90,90,68,47,33,47,102,75,80
All,Number,3583,3898,3840,3822,3694,3604,3513,3429,3190,3206,2905
All,Number per 1000 population,0.51,0.55,0.54,0.53,0.51,0.50,0.48,0.47,0.43,0.43,0.39
