Figure 1.4 Road traffic casualties by age and sex 2019,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Age,No. of casualties (Male),Mid-year population (Male) ('000) ,Casualties per 1 000 population (Male),No. of casualties (Female),Mid-year population (Female) ('000) ,Casualties per 1 000 population (Female),No. of casualties (Unknown sex),No. of casualties (All),Mid-year population (All) ('000) ,Casualties per 1 000 population (All)
Under 5,114,144.1,0.79,75,133.5,0.56,0,189,277.6,0.68
5 - 9,188,158.7,1.18,132,148.9,0.89,1,321,307.6,1.04
10 - 14,251,147.9,1.70,120,141.8,0.85,0,371,289.7,1.28
15 - 19 ,277,146.4,1.89,141,139.2,1.01,0,418,285.6,1.46
20 - 24 ,713,204.2,3.49,346,209.3,1.65,0,1059,413.5,2.56
25 - 29 ,1372,226.3,6.06,551,265.4,2.08,1,1924,491.7,3.91
30 - 34 ,1450,227.7,6.37,597,329.4,1.81,0,2047,557.1,3.67
35 - 39 ,1599,238.2,6.71,623,373,1.67,0,2222,611.2,3.64
40 - 44 ,1383,227,6.09,540,339.6,1.59,0,1923,566.6,3.39
45 - 49 ,1221,242.2,5.04,567,340,1.67,0,1788,582.2,3.07
50 - 54 ,1236,254.8,4.85,526,325.1,1.62,0,1762,579.9,3.04
55 - 59 ,1283,306.3,4.19,542,341.6,1.59,0,1825,647.9,2.82
60 - 64,1060,283.1,3.74,512,291.7,1.76,0,1572,574.8,2.73
65 - 69 ,681,217.6,3.13,396,226.4,1.75,0,1077,444,2.43
70 - 74 ,338,151.3,2.23,273,156.3,1.75,0,611,307.6,1.99
75 - 79 ,152,95.4,1.59,161,95.3,1.69,1,314,190.7,1.65
80 - 84 ,141,78.4,1.80,148,95,1.56,0,289,173.4,1.67
85 & over ,96,73.4,1.31,120,132.9,0.90,0,216,206.3,1.05
Unknown ,110,-,- ,178,-,- ,2,290,- ,- 
All,13665,3423,3.99,6548,4084.4,1.60,5,20218,7507.4,2.69
