"Figure 1.5 Road traffic casualties by age, degree of injury and sex 2019",,,,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Age,Degree of injury: Killed (Male),Degree of injury: Killed (Female),Degree of injury: Killed (All),Degree of injury: Seriously injured (Male),Degree of injury: Seriously injured (Female),Degree of injury: Seriously injured (All),Degree of injury: Slightly injured (Male),Degree of injury: Slightly injured (Female),Degree of injury: Slightly injured (Unknown sex),Degree of injury: Slightly injured (All),Degree of injury: All (Male),Degree of injury: All (Female),Degree of injury: All (Unknown Sex),All
Under 5,0,0,0,4,4,8,110,71,0,181,114,75,0,189
5 - 9,0,0,0,10,7,17,178,125,1,304,188,132,1,321
10 - 14,1,0,1,19,15,34,231,105,0,336,251,120,0,371
15 - 19,0,0,0,24,16,40,253,125,0,378,277,141,0,418
20 - 24,2,2,4,61,21,82,650,323,0,973,713,346,0,1059
25 - 29,6,1,7,129,35,164,1237,515,1,1753,1372,551,1,1924
30 - 34,6,2,8,98,34,132,1346,561,0,1907,1450,597,0,2047
35 - 39,7,0,7,120,62,182,1472,561,0,2033,1599,623,0,2222
40 - 44,3,2,5,121,48,169,1259,490,0,1749,1383,540,0,1923
45 - 49,3,0,3,116,48,164,1102,519,0,1621,1221,567,0,1788
50 - 54,2,4,6,123,50,173,1111,472,0,1583,1236,526,0,1762
55 - 59,9,2,11,129,55,184,1145,485,0,1630,1283,542,0,1825
60 - 64,6,6,12,119,69,188,935,437,0,1372,1060,512,0,1572
65 - 69,9,4,13,107,59,166,565,333,0,898,681,396,0,1077
70 - 74,2,3,5,52,50,102,284,220,0,504,338,273,0,611
75 - 79,3,4,7,24,35,59,125,122,1,248,152,161,1,314
80 - 84,7,5,12,35,43,78,99,100,0,199,141,148,0,289
85 & over,7,5,12,19,35,54,70,80,0,150,96,120,0,216
Unknown,0,0,0,0,0,0,110,178,2,290,110,178,2,290
All,73,40,113,1310,686,1996,12282,5822,5,18109,13665,6548,5,20218
