Figure 1.7 Road traffic casualties by casualty contributory factor and degree of injury 2019,,,,
Last updated on 28.10.2020,,,,
,,,,
,,,,
Casualty contributory factor,Degree of injury: Killed,Degree of injury: Seriously injured,Degree of injury: Slightly injured,Degree of injury: All
Injured by door on bus/PLB,0,1,4,5
Holding vehicle (stealing ride),0,2,3,5
Fell off platform,2,0,2,4
Opened door negligently (passenger),0,1,10,11
Closing door negligently (driver/passenger),0,0,10,10
"Passenger lost balance, elsewhere except on stairway",2,81,638,721
"Passenger lost balance, on stairway",0,15,176,191
Lost balance/fell down when boarding/alighting vehicle,0,11,80,91
Other passenger/driver factors,10,87,1121,1218
Drunk,0,2,6,8
"Suffering from illness, or mental defect",0,3,2,5
Crossing road heedless of traffic (at crossing),4,37,100,141
Crossing road heedless of traffic (elsewhere),3,14,70,87
"In road, not crossing (jay walking)",3,19,73,95
Pedestrian inattentiveness,8,139,430,577
Other pedestrian factors,5,12,86,103
No casualty factor,76,1572,15298,16946
All,113,1996,18109,20218
