Figure 1.8 Driver casualties by degree of injury and class of vehicle 2019,,,,,,,
Last updated on 28.10.2020,,,,,,,
,,,,,,,
,,,,,,,
Class of vehicle ,No. of drivers involved,Driver casualties (Killed),Driver casualties (Seriously injured),Driver casualties (Slightly injured),Driver casualties (All),Driver casualty rate ,Driver fatality rates (per 1 000 drivers involved)
Motor vehicles: Motor cycle,2678,12,374,2075,2461,91.90,4.48
Motor vehicles: Private car,9310,3,179,2975,3157,33.91,0.32
Motor vehicles: Taxi,4810,1,134,1964,2099,43.64,0.21
Motor vehicles: Public light bus,922,4,19,111,134,14.53,4.34
Motor vehicles: Public bus,2633,3,18,338,359,13.63,1.14
Motor vehicles: Light goods vehicle,3086,5,59,948,1012,32.79,1.62
Motor vehicles: Medium goods vehicle,902,1,21,138,160,17.74,1.11
Motor vehicles: Heavy goods vehicle,191,0,7,20,27,14.14,0.00
Motor vehicles: Tram,40,0,1,1,2,5.00,0.00
Motor vehicles: Light rail vehicle,6,0,0,1,1,16.67,0.00
Motor vehicles: Other motor vehicles,244,0,6,35,41,16.80,0.00
Motor vehicles: All,24822,29,818,8606,9453,38.08,1.17
Non-Motor vehicles: Bicycle,1839,7,160,1458,1625,88.36,3.81
Non-Motor vehicles: Handcart,6,0,0,4,4,66.67,0.00
Non-Motor vehicles: All,1845,7,160,1462,1629,88.29,3.79
Unknown,22,0,0,1,1,-,-
All,26689,36,978,10069,11083,41.53,1.35
