"Figure 1.9 Passenger casualties by seat occupied, selected class of vehicle and degree of injury 2019",,,,
Last updated on 28.10.2020,,,,
,,,,
,,,,
Class of vehicle ,Degree of injury ,Seat occupied,Situation,No. of Passenger casualties
Private car,Killed,Front near-side,All,0
Private car,Seriously injured,Front near-side,All,40
Private car,Slightly injured,Front near-side,All,737
Private car,All,Front near-side,All,777
Private car,Killed,Front near-side,With seat belt worn,0
Private car,Seriously injured,Front near-side,With seat belt worn,40
Private car,Slightly injured,Front near-side,With seat belt worn,725
Private car,All,Front near-side,With seat belt worn,765
Private car,Killed,Rear,All,2
Private car,Seriously injured,Rear,All,30
Private car,Slightly injured,Rear,All,808
Private car,All,Rear,All,840
Private car,Killed,Rear,With seat belt worn,1
Private car,Seriously injured,Rear,With seat belt worn,30
Private car,Slightly injured,Rear,With seat belt worn,759
Private car,All,Rear,With seat belt worn,790
Taxi,Killed,Front near-side,All,0
Taxi,Seriously injured,Front near-side,All,3
Taxi,Slightly injured,Front near-side,All,75
Taxi,All,Front near-side,All,78
Taxi,Killed,Front near-side,With seat belt worn,0
Taxi,Seriously injured,Front near-side,With seat belt worn,3
Taxi,Slightly injured,Front near-side,With seat belt worn,73
Taxi,All,Front near-side,With seat belt worn,76
Taxi,Killed,Rear,All,2
Taxi,Seriously injured,Rear,All,52
Taxi,Slightly injured,Rear,All,915
Taxi,All,Rear,All,969
Taxi,Killed,Rear,With seat belt worn,2
Taxi,Seriously injured,Rear,With seat belt worn,42
Taxi,Slightly injured,Rear,With seat belt worn,760
Taxi,All,Rear,With seat belt worn,804
Public light bus,Killed,Front near-side,All,0
Public light bus,Seriously injured,Front near-side,All,1
Public light bus,Slightly injured,Front near-side,All,6
Public light bus,All,Front near-side,All,7
Public light bus,Killed,Front near-side,With seat belt worn,0
Public light bus,Seriously injured,Front near-side,With seat belt worn,1
Public light bus,Slightly injured,Front near-side,With seat belt worn,5
Public light bus,All,Front near-side,With seat belt worn,6
Public light bus,Killed,Rear,All,1
Public light bus,Seriously injured,Rear,All,53
Public light bus,Slightly injured,Rear,All,475
Public light bus,All,Rear,All,529
Public light bus,Killed,Rear,With seat belt worn,0
Public light bus,Seriously injured,Rear,With seat belt worn,27
Public light bus,Slightly injured,Rear,With seat belt worn,251
Public light bus,All,Rear,With seat belt worn,278
Light goods vehicle,Killed,Front near-side,All,1
Light goods vehicle,Seriously injured,Front near-side,All,12
Light goods vehicle,Slightly injured,Front near-side,All,181
Light goods vehicle,All,Front near-side,All,194
Light goods vehicle,Killed,Front near-side,With seat belt worn,1
Light goods vehicle,Seriously injured,Front near-side,With seat belt worn,11
Light goods vehicle,Slightly injured,Front near-side,With seat belt worn,177
Light goods vehicle,All,Front near-side,With seat belt worn,189
Light goods vehicle,Killed,Rear,All,1
Light goods vehicle,Seriously injured,Rear,All,15
Light goods vehicle,Slightly injured,Rear,All,168
Light goods vehicle,All,Rear,All,184
Light goods vehicle,Killed,Rear,With seat belt worn,0
Light goods vehicle,Seriously injured,Rear,With seat belt worn,12
Light goods vehicle,Slightly injured,Rear,With seat belt worn,159
Light goods vehicle,All,Rear,With seat belt worn,171
Medium & heavy goods vehicles,Killed,Front near-side,All,2
Medium & heavy goods vehicles,Seriously injured,Front near-side,All,1
Medium & heavy goods vehicles,Slightly injured,Front near-side,All,31
Medium & heavy goods vehicles,All,Front near-side,All,34
Medium & heavy goods vehicles,Killed,Front near-side,With seat belt worn,0
Medium & heavy goods vehicles,Seriously injured,Front near-side,With seat belt worn,1
Medium & heavy goods vehicles,Slightly injured,Front near-side,With seat belt worn,30
Medium & heavy goods vehicles,All,Front near-side,With seat belt worn,31
Medium & heavy goods vehicles,Killed,Rear,All,0
Medium & heavy goods vehicles,Seriously injured,Rear,All,0
Medium & heavy goods vehicles,Slightly injured,Rear,All,20
Medium & heavy goods vehicles,All,Rear,All,20
Medium & heavy goods vehicles,Killed,Rear,With seat belt worn,0
Medium & heavy goods vehicles,Seriously injured,Rear,With seat belt worn,0
Medium & heavy goods vehicles,Slightly injured,Rear,With seat belt worn,17
Medium & heavy goods vehicles,All,Rear,With seat belt worn,17
Public bus,Killed,Front near-side,All,0
Public bus,Seriously injured,Front near-side,All,0
Public bus,Slightly injured,Front near-side,All,5
Public bus,All,Front near-side,All,5
Public bus,Killed,Rear,All,10
Public bus,Seriously injured,Rear,All,180
Public bus,Slightly injured,Rear,All,1945
Public bus,All,Rear,All,2135
Public bus,Killed,Rear,Standing,9
Public bus,Seriously injured,Rear,Standing,86
Public bus,Slightly injured,Rear,Standing,856
Public bus,All,Rear,Standing,951
Motor cycle,Killed,Rear,All,0
Motor cycle,Seriously injured,Rear,All,25
Motor cycle,Slightly injured,Rear,All,137
Motor cycle,All,Rear,All,162
Motor cycle,Killed,Rear,With crash helmet worn,0
Motor cycle,Seriously injured,Rear,With crash helmet worn,22
Motor cycle,Slightly injured,Rear,With crash helmet worn,131
Motor cycle,All,Rear,With crash helmet worn,153
All,Killed,Front near-side,All,3
All,Seriously injured,Front near-side,All,57
All,Slightly injured,Front near-side,All,1040
All,All,Front near-side,All,1100
All,Killed,Rear,All,17
All,Seriously injured,Rear,All,367
All,Slightly injured,Rear,All,4579
All,All,Rear,All,4963
