Figure 2.10 Road traffic accidents by environment contributory factor and severity 2019,,,,
Last updated on 28.10.2020,,,,
,,,,
,,,,
Environment contributory factor,Severity: Fatal,Severity: Serious,Severity: Slight,Severity: All
Slippery road (not related to weather),0,21,99,120
Slippery road (caused by weather),0,2,40,42
High wind,0,1,1,2
Steep slope,0,0,5,5
Object or animal in road,0,19,133,152
Defective traffic signal,0,0,47,47
Potholes,0,5,12,17
Obstructed road,0,0,3,3
Pedestrian negligence,1,25,92,118
Inadequate light/sign at road work,0,1,0,1
Vision obscured,0,0,2,2
No accident environment factor,106,1757,13730,15593
All,107,1831,14164,16102
