"Figure 2.12 Road traffic accidents at junction by junction type, junction control type and severity 2019",,,,,
Last updated on 28.10.2020,,,,,
,,,,,
,,,,,
Junction type,Junction control type,Severity: Fatal,Severity: Serious,Severity: Slight,Severity: All
Roundabout,signalised,0,0,6,6
Roundabout,non-signalised,2,25,262,289
Roundabout,All,2,25,268,295
T-junction,signalised,4,74,591,669
T-junction,non-signalised,10,135,1142,1287
T-junction,All,14,209,1733,1956
Staggered,signalised,0,0,13,13
Staggered,non-signalised,1,3,94,98
Staggered,All,1,3,107,111
Y-junction,signalised,0,8,35,43
Y-junction,non-signalised,4,19,198,221
Y-junction,All,4,27,233,264
Slip road,signalised,0,1,2,3
Slip road,non-signalised,0,0,48,48
Slip road,All,0,1,50,51
Cross roads,signalised,3,45,578,626
Cross roads,non-signalised,6,68,602,676
Cross roads,All,9,113,1180,1302
Multiple,signalised,0,5,41,46
Multiple,non-signalised,0,2,18,20
Multiple,All,0,7,59,66
Private access,signalised,0,0,0,0
Private access,non-signalised,0,0,4,4
Private access,All,0,0,4,4
Others,signalised,0,0,1,1
Others,non-signalised,0,1,23,24
Others,All,0,1,24,25
Unknown,Unknown,0,0,0,0
All junctions,,30,386,3658,4074
All roads,,107,1831,14164,16102
