Selected road,Severity: Fatal ,Severity: Serious,Severity: Slight,Severity: All,Accident rate per million vehicle-kilometres,,
Cheung Tsing Highway,0,1,7,8,0.24,,
Fanling Highway,2,12,105,119,0.36,,
Island Eastern Corridor,2,22,124,148,0.53,,
Kwun Tong Bypass,0,7,72,79,0.41,,
Lantau Link,0,4,48,52,0.25,,
North Lantau Highway,1,9,56,66,0.21,,
San Tin Highway,1,6,34,41,0.15,,
Sha Tin Road,0,2,13,15,0.21,,
Tai Po Road - Sha Tin,0,4,31,35,0.24,,
Tate's Cairn Highway,0,3,38,41,0.56,,
Tolo Highway,5,16,114,135,0.26,,
Tsing Kwai Highway,0,5,28,33,0.33,,
Tsing Long Highway,2,6,33,41,0.16,,
Tsing Sha Highway,0,3,15,18,0.11,,
Tsuen Wan Road,0,9,53,62,0.54,,
Tuen Mun Road,1,40,222,263,0.35,,
West Kowloon Highway,0,1,23,24,0.23,,
Yuen Long Highway,0,11,61,72,0.16,,
All selected roads,14,161,1077,1252,0.29,,
All roads,107,1831,14164,16102,1.15,,
