Figure 2.14 Road traffic accidents by tunnel area and severity 2019,,,,,
Last updated on 28.10.2020,,,,,
,,,,,
,,,,,
Tunnel area,Severity: Fatal ,Severity: Serious,Severity: Slight,Severity: All,Accident rate per million vehicle-kilometres
Cross Harbour Tunnel,0,6,52,58,0.65
Eastern Harbour Crossing,0,4,33,37,0.26
Western Harbour Crossing,1,4,30,35,0.59
Aberdeen Tunnel,0,10,33,43,0.94
Central - Wan Chai Bypass Tunnel,0,0,7,7,0.10
Cheung Tsing Tunnel,1,1,10,12,0.11
Kai Tak Tunnel,0,1,32,33,1.16
Lion Rock Tunnel,0,0,33,33,0.48
Lung Shan Tunnel,0,0,1,1,0.06
Nam Wan Tunnel,0,1,6,7,0.16
Shing Mun Tunnel,3,5,29,37,0.40
Tai Lam Tunnel,1,5,18,24,0.13
"Tai Wai Tunnel, Shatin Heights Tunnel and Eagle's Nest Tunnel",0,2,14,16,0.13
Tate's Cairn Tunnel,0,2,17,19,0.19
Tseung Kwan O Tunnel,0,7,28,35,0.44
All selected tunnel areas,6,48,343,397,0.32
All roads ,107,1831,14164,16102,1.15
