Figure 2.1 Road traffic accidents by region and severity (2009 - 2019),,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Severity,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hong Kong Island,Fatal,30,19,23,21,19,12,14,12,8,18,13
Hong Kong Island,Serious,378,433,393,402,414,450,475,446,431,433,425
Hong Kong Island,Slight,2469,2544,2615,2551,2597,2529,2383,2414,2269,2375,2226
Hong Kong Island,All,2877,2996,3031,2974,3030,2991,2872,2872,2708,2826,2664
Kowloon,Fatal,38,40,48,46,49,34,53,48,43,29,32
Kowloon,Serious,520,538,613,600,585,627,612,546,423,454,392
Kowloon,Slight,4246,4462,4520,4471,4577,4444,4622,4573,4617,4694,4881
Kowloon,All,4804,5040,5181,5117,5211,5105,5287,5167,5083,5177,5305
New Territories,Fatal,58,55,57,49,60,53,50,69,53,60,62
New Territories,Serious,1045,1081,1184,1383,1477,1431,1423,1387,1216,795,1014
New Territories,Slight,5532,5771,6088,6371,6311,6210,6538,6604,6665,7077,7057
New Territories,All,6635,6907,7329,7803,7848,7694,8011,8060,7934,7932,8133
All regions,Fatal,126,114,128,116,128,99,117,129,104,107,107
All regions,Serious,1943,2052,2190,2385,2476,2508,2510,2379,2070,1682,1831
All regions,Slight,12247,12777,13223,13393,13485,13183,13543,13591,13551,14146,14164
All regions,All,14316,14943,15541,15894,16089,15790,16170,16099,15725,15935,16102
