Figure 2.2 Road traffic accidents by type of accident collision and severity (2009 - 2019),,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Type of accident collision,Severity,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Vehicle/ Pedestrian,Fatal,68,66,72,67,79,61,79,81,60,59,57
Vehicle/ Pedestrian,Serious,688,705,735,722,725,712,753,734,635,575,569
Vehicle/ Pedestrian,Slight,2527,2820,2682,2677,2525,2537,2386,2357,2263,2326,2111
Vehicle/ Pedestrian,All,3283,3591,3489,3466,3329,3310,3218,3172,2958,2960,2737
Vehicle/ Vehicle,Fatal,35,31,31,29,24,27,23,29,30,34,28
Vehicle/ Vehicle,Serious,593,648,661,688,762,761,789,767,724,573,706
Vehicle/ Vehicle,Slight,5018,5307,5646,5612,5733,5868,6286,6711,6894,7242,7762
Vehicle/ Vehicle,All,5646,5986,6338,6329,6519,6656,7098,7507,7648,7849,8496
Vehicle/ Object,Fatal,15,13,19,16,22,7,10,14,11,10,13
Vehicle/ Object,Serious,288,329,331,361,399,203,167,161,134,128,106
Vehicle/ Object,Slight,1483,1562,1545,1527,1646,690,750,751,681,701,700
Vehicle/ Object,All,1786,1904,1895,1904,2067,900,927,926,826,839,819
Vehicle/ None,Fatal,8,4,6,4,3,4,5,5,3,4,9
Vehicle/ None,Serious,374,370,463,614,590,832,801,717,577,406,450
Vehicle/ None,Slight,3219,3088,3350,3577,3581,4088,4121,3772,3713,3877,3591
Vehicle/ None,All,3601,3462,3819,4195,4174,4924,4927,4494,4293,4287,4050
All types,Fatal,126,114,128,116,128,99,117,129,104,107,107
All types,Serious,1943,2052,2190,2385,2476,2508,2510,2379,2070,1682,1831
All types,Slight,12247,12777,13223,13393,13485,13183,13543,13591,13551,14146,14164
All types,All,14316,14943,15541,15894,16089,15790,16170,16099,15725,15935,16102
