Figure 2.5 Road traffic accidents by hour of the day and day of the week 2019,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Hour of the day,Item,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,All Days
0000 - 0059,Number,54,48,45,40,50,66,57,360
0100 - 0159,Number,32,22,35,24,23,40,39,215
0200 - 0259,Number,29,20,20,19,31,31,45,195
0300 - 0359,Number,18,16,17,19,29,27,29,155
0400 - 0459,Number,12,24,17,25,13,16,37,144
0500 - 0559,Number,25,23,14,14,21,21,32,150
0600 - 0659,Number,44,34,44,40,40,29,43,274
0700 - 0759,Number,118,127,148,102,115,72,39,721
0800 - 0859,Number,151,186,172,126,142,93,68,938
0900 - 0959,Number,131,128,127,141,125,125,101,878
1000 - 1059,Number,120,122,116,130,113,120,121,842
1100 - 1159,Number,130,136,114,125,158,134,136,933
1200 - 1259,Number,149,124,140,121,139,153,139,965
1300 - 1359,Number,119,131,120,121,145,179,141,956
1400 - 1459,Number,124,139,128,145,149,151,133,969
1500 - 1559,Number,135,142,141,137,134,145,131,965
1600 - 1659,Number,158,135,129,141,134,166,139,1002
1700 - 1759,Number,144,138,143,155,176,157,124,1037
1800 - 1859,Number,171,156,182,177,189,154,140,1169
1900 - 1959,Number,142,147,115,153,146,108,120,931
2000 - 2059,Number,95,95,83,76,112,83,106,650
2100 - 2159,Number,92,93,67,76,89,89,90,596
2200 - 2259,Number,74,75,91,101,99,75,80,595
2300 - 2359,Number,56,70,43,64,89,82,58,462
All hours,Number,2323,2331,2251,2272,2461,2316,2148,16102
0000 - 0059,Average number,,,,,,,,0.99 
0100 - 0159,Average number,,,,,,,,0.59 
0200 - 0259,Average number,,,,,,,,0.53 
0300 - 0359,Average number,,,,,,,,0.42 
0400 - 0459,Average number,,,,,,,,0.39 
0500 - 0559,Average number,,,,,,,,0.41 
0600 - 0659,Average number,,,,,,,,0.75 
0700 - 0759,Average number,,,,,,,,1.98 
0800 - 0859,Average number,,,,,,,,2.57 
0900 - 0959,Average number,,,,,,,,2.41 
1000 - 1059,Average number,,,,,,,,2.31 
1100 - 1159,Average number,,,,,,,,2.56 
1200 - 1259,Average number,,,,,,,,2.64 
1300 - 1359,Average number,,,,,,,,2.62 
1400 - 1459,Average number,,,,,,,,2.65 
1500 - 1559,Average number,,,,,,,,2.64 
1600 - 1659,Average number,,,,,,,,2.75 
1700 - 1759,Average number,,,,,,,,2.84 
1800 - 1859,Average number,,,,,,,,3.20 
1900 - 1959,Average number,,,,,,,,2.55 
2000 - 2059,Average number,,,,,,,,1.78 
2100 - 2159,Average number,,,,,,,,1.63 
2200 - 2259,Average number,,,,,,,,1.63 
2300 - 2359,Average number,,,,,,,,1.27 
All hours,Average number,,,,,,,,1.84 
All hours,Average number in the day,44.7 ,44.0 ,43.3 ,43.7 ,47.3 ,44.5 ,41.3 ,44.1 
