Figure 2.6 Road traffic accidents by District Council district and severity 2019,,,,
Last updated on 28.10.2020,,,,
,,,,
,,,,
District Council district,Severity: Fatal,Severity: Serious,Severity: Slight,Severity: All
Hong Kong Island: Central and Western,4,98,608,710
Hong Kong Island: Wan Chai,3,92,672,767
Hong Kong Island: Eastern,3,144,560,707
Hong Kong Island: Southern,3,91,386,480
Kowloon: Yau Tsim Mong,7,73,1455,1535
Kowloon: Sham Shui Po,11,46,866,923
Kowloon: Kowloon City,4,51,947,1002
Kowloon: Wong Tai Sin,2,72,516,590
Kowloon: Kwun Tong,8,150,1097,1255
New Territories: Kwai Tsing,5,113,772,890
New Territories: Tsuen Wan,6,116,878,1000
New Territories: Tuen Mun,1,110,651,762
New Territories: Yuen Long,16,218,1227,1461
New Territories: North,5,104,584,693
New Territories: Tai Po,10,109,791,910
New Territories: Sha Tin,12,126,1193,1331
New Territories: Sai Kung,5,71,532,608
New Territories: Islands,2,47,429,478
All,107,1831,14164,16102
