"Figure 2.8 Road traffic accidents by region, type of accident collision and whether at junction 2019",,,,,
Last updated on 28.10.2020,,,,,
,,,,,
,,,,,
Region,Type of accident collision,Whether at junction: At Junction,Whether at junction: Not at Junction,Whether at junction: All,
Hong Kong Island ,Vehicle/Pedestrian,153,513,666,
Hong Kong Island ,Vehicle/Vehicle,226,1048,1274,
Hong Kong Island ,Vehicle/Object,9,119,128,
Hong Kong Island ,Vehicle/None,64,532,596,
Hong Kong Island ,All,452,2212,2664,
Kowloon ,Vehicle/Pedestrian,578,484,1062,
Kowloon ,Vehicle/Vehicle,1445,1504,2949,
Kowloon ,Vehicle/Object,68,125,193,
Kowloon ,Vehicle/None,505,596,1101,
Kowloon ,All,2596,2709,5305,
New Territories,Vehicle/Pedestrian,115,894,1009,
New Territories,Vehicle/Vehicle,703,3570,4273,
New Territories,Vehicle/Object,29,469,498,
New Territories,Vehicle/None,179,2174,2353,
New Territories,All,1026,7107,8133,
Whole Territories ,Vehicle/Pedestrian,846,1891,2737,
Whole Territories ,Vehicle/Vehicle,2374,6122,8496,
Whole Territories ,Vehicle/Object,106,713,819,
Whole Territories ,Vehicle/None,748,3302,4050,
Whole Territories ,All,4074,12028,16102,
