Figure 3.10 Motor vehicle involvement rates by year of manufacture and selected class of motor vehicle 2019,,,,,,,
Last updated on 28.10.2020,,,,,,,
,,,,,,,
Year of manufacture,Class of motor vehicle: Motor cycle,Class of motor vehicle: Private car,Class of motor vehicle: Taxi,Class of motor vehicle: Public light bus,Class of motor vehicle: Public bus,Class of motor vehicle: Light goods vehicle,Class of motor vehicle: Medium & heavy goods vehicles
Before 2003,25.7 ,13.2 ,208.5 ,216.7 ,309.4 ,23.1 ,24.3 
2003,28.8 ,16.3 ,234.0 ,163.1 ,444.0 ,15.2 ,10.8 
2004,38.1 ,15.7 ,307.3 ,223.7 ,181.8 ,10.7 ,16.5 
2005,33.5 ,15.6 ,224.7 ,219.5 ,149.1 ,43.3 ,21.3 
2006,36.8 ,16.2 ,265.3 ,153.8 ,128.5 ,24.7 ,23.1 
2007,43.5 ,15.0 ,274.2 ,261.5 ,119.5 ,35.9 ,19.4 
2008,43.0 ,16.3 ,250.0 ,150.0 ,82.5 ,41.1 ,25.1 
2009,58.8 ,17.7 ,275.5 ,279.6 ,136.3 ,34.1 ,27.7 
2010,38.9 ,17.6 ,232.7 ,224.9 ,195.0 ,38.4 ,20.7 
2011,57.6 ,17.1 ,319.5 ,117.6 ,125.0 ,37.4 ,23.3 
2012,49.2 ,18.0 ,305.3 ,267.9 ,149.5 ,42.2 ,26.8 
2013,39.9 ,16.6 ,298.4 ,292.7 ,229.0 ,41.6 ,25.6 
2014,48.8 ,16.2 ,278.9 ,213.0 ,186.9 ,42.5 ,24.1 
2015,49.8 ,16.4 ,276.5 ,207.7 ,241.8 ,43.8 ,27.3 
2016,55.3 ,16.0 ,283.6 ,159.3 ,162.4 ,39.4 ,27.3 
2017,51.7 ,16.5 ,280.3 ,200.0 ,222.5 ,47.7 ,30.6 
2018,65.8 ,14.7 ,266.3 ,211.2 ,197.5 ,58.0 ,26.8 
2019,78.4 ,17.9 ,324.7 ,206.1 ,316.5 ,77.5 ,30.2 
All,47.1 ,16.3 ,265.3 ,213.0 ,198.4 ,42.6 ,25.6 
