Figure 3.12 Motor vehicle drivers involved in accidents by age and class of motor vehicle 2019,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Age,Class of motor vehicle: Motor cycle,Class of motor vehicle: Private car,Class of motor vehicle: Taxi,Class of motor vehicle: Public light bus,Class of motor vehicle: Public bus,Class of motor vehicle: Light goods vehicle,Class of motor vehicle: Medium & heavy goods vehicles,Class of motor vehicle: Other motor vehicles,Class of motor vehicle: All motor vehicles
Under 20,15,21,0,0,0,2,0,1,39
20 - 24,207,527,8,0,21,149,5,3,920
25 - 29,424,1081,41,4,83,308,38,12,1991
30 - 34,398,1190,121,4,185,449,80,17,2444
35 - 39,409,1341,234,17,224,441,145,22,2833
40 - 44,359,1193,277,29,293,390,129,31,2701
45 - 49,307,1051,395,48,400,308,139,32,2680
50 - 54,230,861,640,84,421,311,173,38,2758
55 - 59,166,839,1011,133,536,325,166,47,3223
60 - 64,98,600,1016,245,303,231,121,36,2650
65 - 69,37,240,685,192,92,92,56,26,1420
70 & over,13,170,315,140,10,39,18,9,714
Unknown,15,196,67,26,65,41,23,16,449
All,2678,9310,4810,922,2633,3086,1093,290,24822
