Figure 3.13 Accident involvement rates of motor vehicle drivers by age and selected class of motor vehicle 2019,,,,,,,,
Last updated on 28.10.2020,,,,,,,,
,,,,,,,,
,,,,,,,,
Age,Class of motor vehicle: Motor cycle,Class of motor vehicle: Private car,Class of motor vehicle: Taxi,Class of motor vehicle: Public light bus,Class of motor vehicle: Public bus,Class of motor vehicle: Light goods vehicle,Class of motor vehicle: Medium & heavy goods vehicles,Class of motor vehicle: All motor vehicles
Under 20,96.8 ,5.7 ,-,-,-,0.7 ,-,5.8 
20 - 24,54.5 ,8.4 ,62.5 ,0.0 ,32.8 ,3.8 ,5.1 ,8.1 
25 - 29,38.6 ,6.6 ,40.7 ,2.8 ,30.3 ,3.3 ,7.9 ,6.7 
30 - 34,18.9 ,5.0 ,41.0 ,1.0 ,30.1 ,3.4 ,7.0 ,5.4 
35 - 39,11.3 ,4.6 ,37.9 ,1.7 ,18.4 ,2.6 ,6.5 ,4.6 
40 - 44,7.6 ,4.0 ,31.7 ,2.1 ,17.6 ,2.3 ,4.6 ,4.0 
45 - 49,5.8 ,3.4 ,30.1 ,2.7 ,19.7 ,2.0 ,4.0 ,3.8 
50 - 54,5.2 ,3.0 ,25.5 ,3.5 ,17.5 ,1.9 ,3.9 ,3.9 
55 - 59,4.6 ,2.9 ,22.1 ,4.0 ,18.4 ,1.6 ,2.8 ,4.0 
60 - 64,4.0 ,2.8 ,20.8 ,7.3 ,10.7 ,1.3 ,2.0 ,3.9 
65 - 69,2.0 ,1.8 ,18.1 ,7.9 ,4.9 ,0.8 ,1.2 ,3.1 
70 & over,1.4 ,2.9 ,16.6 ,8.9 ,1.0 ,0.7 ,0.6 ,3.1 
All,8.7 ,4.0 ,23.0 ,5.2 ,15.6 ,2.1 ,3.2 ,4.3 
