"Figure 3.14 Cyclists involved in accidents by age, severity and sex 2019",,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Age,Severity: Fatal (Male),Severity: Fatal (Female),Severity: Serious (Male),Severity: Serious (Female),Severity: Serious (Unknown sex),Severity: Slight (Male),Severity: Slight (Female),Severity: Slight (Unknown sex),Severity: All (Male),Severity: All (Female),Severity: All (Unknown sex),All
Under 5 ,0,0,0,0,0,6,2,0,6,2,0,8
5 - 9,0,0,2,0,0,41,16,0,43,16,0,59
10 - 14,0,0,7,0,0,140,25,0,147,25,0,172
15 - 19,0,0,10,1,0,156,33,0,166,34,0,200
20 - 24,0,0,9,3,0,79,30,0,88,33,0,121
25 - 29 ,2,0,8,0,0,73,25,0,83,25,0,108
30 - 34 ,2,0,5,1,0,66,22,0,73,23,0,96
35 - 39 ,2,0,10,7,0,74,34,0,86,41,0,127
40 - 44 ,0,0,15,4,0,77,30,0,92,34,0,126
45 - 49 ,0,0,11,8,0,75,45,0,86,53,0,139
50 - 54 ,0,1,16,6,0,91,42,0,107,49,0,156
55 - 59,0,0,19,1,0,105,44,0,124,45,0,169
60 - 64,1,0,10,6,0,91,32,0,102,38,0,140
65 - 69 ,1,0,13,4,0,57,8,0,71,12,0,83
70 - 74 ,0,0,2,0,0,34,4,0,36,4,0,40
75 - 79 ,0,0,3,0,0,15,1,0,18,1,0,19
80 - 84,2,0,2,0,0,8,0,0,12,0,0,12
85 & over,0,0,2,0,0,6,1,0,8,1,0,9
Unknown,0,0,4,0,7,17,9,18,21,9,25,55
All,10,1,148,41,7,1211,403,18,1369,445,25,1839
