Figure 3.1 Motor vehicle involvements and involvement rates by selected class of motor vehicle (2009 - 2019),,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Selected class of?motor vehicle,Item,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Motor cycle,Number involved in accident,2556,2428,2328,2245,2222,2281,2328,2355,2280,2386,2678
Motor cycle,Number licensed (mid-year),37667,37809,38226,38882,40608,43082,46134,49098,51596,54395,56901
Motor cycle,Annual vehicle-kilometres (millions),322,305,299,300,295,306,326,339,360,361,393
Motor cycle,"Involvement rate (per 1,000 vehicles)",67.9,64.2,60.9,57.7,54.7,52.9,50.5,48.0,44.2,43.9,47.1
Motor cycle,Involvement rate (per million vehicle-kilometres),7.94,7.97,7.78,7.49,7.53,7.45,7.14,6.95,6.34,6.61,6.82
Private car,Number involved in accident,6085,6255,6591,6859,7093,7224,7757,8207,8607,8813,9310
Private car,Number licensed (mid-year),385675,402490,424758,443442,464595,486168,509207,528849,545753,560158,570239
Private car,Annual vehicle-kilometres (millions),4537,4665,4861,4969,5262,5323,5591,5929,5998,6158,6391
Private car,"Involvement rate (per 1,000 vehicles)",15.8,15.5,15.5,15.5,15.3,14.9,15.2,15.5,15.8,15.7,16.3
Private car,Involvement rate (per million vehicle-kilometres),1.34,1.34,1.36,1.38,1.35,1.36,1.39,1.38,1.43,1.43,1.46
Taxi,Number involved in accident,3801,4053,4259,4240,4395,4211,4332,4493,4359,4436,4810
Taxi,Number licensed (mid-year),18126,18129,18126,18128,18114,18084,18040,18156,18144,18144,18131
Taxi,Annual vehicle-kilometres (millions),2130,2200,2336,2395,2475,2466,2534,2564,2472,2535,2466
Taxi,"Involvement rate (per 1,000 vehicles)",209.7,223.6,235.0,233.9,242.6,232.9,240.1,247.5,240.2,244.5,265.3
Taxi,Involvement rate (per million vehicle-kilometres),1.78,1.84,1.82,1.77,1.78,1.71,1.71,1.75,1.76,1.75,1.95
Public light bus,Number involved in accident,1110,1146,1142,1067,1128,1085,1105,1080,1010,958,922
Public light bus,Number licensed (mid-year),4349,4346,4347,4344,4348,4341,4347,4343,4343,4327,4328
Public light bus,Annual vehicle-kilometres (millions),377,364,390,385,399,415,423,420,395,382,369
Public light bus,"Involvement rate (per 1,000 vehicles)",255.2,263.7,262.7,245.6,259.4,249.9,254.2,248.7,232.6,221.4,213.0
Public light bus,Involvement rate (per million vehicle-kilometres),2.94,3.15,2.93,2.77,2.83,2.61,2.61,2.57,2.56,2.51,2.50
Public bus,Number involved in accident,2322,2442,2629,2693,2847,2850,2762,2722,2726,2799,2633
Public bus,Number licensed (mid-year),12757,12729,12766,12822,12701,12790,12785,12772,12941,13076,13271
Public bus,Annual vehicle-kilometres (millions),857,834,836,830,833,809,793,802,794,814,777
Public bus,"Involvement rate (per 1,000 vehicles)",182.0,191.8,205.9,210.0,224.2,222.8,216.0,213.1,210.6,214.1,198.4
Public bus,Involvement rate (per million vehicle-kilometres),2.71,2.93,3.14,3.25,3.42,3.52,3.48,3.39,3.43,3.44,3.39
Light goods vehicle,Number involved in accident,2527,2726,2689,2637,2706,2621,2708,2947,2790,2896,3086
Light goods vehicle,Number licensed (mid-year),68123,69276,69563,70789,72694,72465,71092,70673,70832,71822,72525
Light goods vehicle,Annual vehicle-kilometres (millions),2256,2285,2269,2227,2199,2199,2256,2285,2273,2374,2334
Light goods vehicle,"Involvement rate (per 1,000 vehicles)",37.1,39.3,38.7,37.3,37.2,36.2,38.1,41.7,39.4,40.3,42.6
Light goods vehicle,Involvement rate (per million vehicle-kilometres),1.12,1.19,1.19,1.18,1.23,1.19,1.20,1.29,1.23,1.22,1.32
Medium & heavy goods vehicles,Number involved in accident,907,1031,1141,1105,1085,1125,1063,1167,1162,1083,1093
Medium & heavy goods vehicles,Number licensed (mid-year),39079,39813,40719,40809,41688,41886,41875,41818,42346,42851,42657
Medium & heavy goods vehicles,Annual vehicle-kilometres (millions),1191,1249,1247,1245,1252,1204,1236,1219,1238,1203,1156
Medium & heavy goods vehicles,"Involvement rate (per 1,000 vehicles)",23.2,25.9,28.0,27.1,26.0,26.9,25.4,27.9,27.4,25.3,25.6
Medium & heavy goods vehicles,Involvement rate (per million vehicle-kilometres),0.76,0.83,0.91,0.89,0.87,0.93,0.86,0.96,0.94,0.90,0.95
Tram,Number involved in accident,76,75,59,44,59,43,38,50,60,49,40
Tram,Number licensed (mid-year),161,161,161,161,161,161,161,161,161,161,161
Tram,Annual vehicle-kilometres (millions),6,6,5,5,5,5,5,5,5,5,4
Tram,"Involvement rate (per 1,000 vehicles)",472.0,465.8,366.5,273.3,366.5,267.1,236.0,310.6,372.7,304.3,248.4
Tram,Involvement rate (per million vehicle-kilometres),12.52,12.90,10.86,8.54,11.35,9.07,7.71,10.11,12.73,10.89,9.41
Light rail vehicle,Number involved in accident,8,15,11,13,21,17,11,13,10,10,6
Light rail vehicle,Number licensed (mid-year),119,125,132,139,139,138,138,138,139,139,139
Light rail vehicle,Annual vehicle-kilometres (millions),7,8,8,8,8,8,8,8,8,8,7
Light rail vehicle,"Involvement rate (per 1,000 vehicles)",67.2,120.0,83.3,93.5,151.1,123.2,79.7,94.2,71.9,71.9,43.2
Light rail vehicle,Involvement rate (per million vehicle-kilometres),1.09,1.99,1.42,1.68,2.72,2.18,1.38,1.61,1.24,1.24,0.83
