Figure 3.2 Motor vehicle driver involved in accident by age (2009 - 2019),,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Age,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Under 20,58,50,53,31,72,54,69,51,50,39,39
20 - 24,923,825,837,760,828,835,863,953,996,913,920
25 - 29,2073,1876,1848,1716,1683,1700,1804,1761,1798,1783,1991
30 - 34,2199,2264,2303,2399,2397,2278,2361,2435,2336,2276,2444
35 - 39,2092,2417,2386,2368,2435,2379,2472,2657,2545,2692,2833
40 - 44,2375,2373,2407,2372,2459,2386,2491,2549,2655,2586,2701
45 - 49,2950,2989,2978,2854,2748,2667,2579,2563,2566,2576,2680
50 - 54,2840,3094,3162,3106,3265,3133,3117,3066,2836,2806,2758
55 - 59,2065,2262,2469,2667,2811,2908,3007,3157,3105,3128,3223
60 - 64,1097,1233,1513,1647,1824,1908,1912,2117,2159,2473,2650
65 - 69,320,388,490,587,627,780,902,1129,1150,1265,1420
70 - 74,154,148,160,193,182,204,258,282,348,408,536
75 - 79,32,44,51,59,72,70,103,89,106,94,120
80 - 84,13,11,15,17,9,20,27,40,21,31,54
85 & over,8,18,21,33,2,2,6,4,3,9,4
Unknown,409,415,385,366,419,405,390,438,538,582,449
All,19608,20407,21078,21175,21833,21729,22361,23291,23212,23661,24822
