Figure 3.3 Cyclists involved in accident by age (2009 - 2019),,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Age,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Under 11,121,79,89,102,119,121,153,104,104,101,85
11 - 14,141,169,163,168,160,180,194,124,136,142,154
15 - 19,306,357,362,393,363,319,383,280,232,241,200
20 - 24,224,208,329,364,329,261,306,203,172,149,121
25 - 29,152,173,242,262,251,240,239,172,160,128,108
30 - 34,113,119,193,221,244,202,186,161,133,120,96
35 - 39,130,127,154,191,183,181,149,166,146,125,127
40 - 44,122,114,182,192,208,195,181,161,170,135,126
45 - 49,152,157,187,210,173,189,178,161,144,128,139
50 - 54,130,143,189,203,229,200,202,211,161,133,156
55 - 59,87,122,136,165,184,178,191,191,166,176,169
60 - 64,54,87,76,123,117,121,130,126,138,134,140
65 - 69,22,40,38,63,60,66,68,59,83,67,83
70 - 74,23,23,25,27,30,29,29,22,29,46,40
75 - 79,10,13,20,14,20,22,24,18,18,27,19
80 - 84,5,5,7,12,6,13,16,10,14,13,12
85 & over,1,5,7,6,3,0,2,6,5,10,9
Unknown,89,86,101,41,40,59,54,63,50,67,55
All,1882,2027,2500,2757,2719,2576,2685,2238,2061,1942,1839
