Figure 3.4 Road traffic accident statistics by class of vehicle 2019,,,,,,
Last updated on 28.10.2020,,,,,,
,,,,,,
,,,,,,
Class of vehicle ,No. of accidents,No. of involvements ,No. of casualties (Killed),No. of casualties (Seriously injured),No. of casualties (Slightly injured),No. of casualties (All)
Motor vehicles: Motor cycle,2624,2678,14,433,2445,2892
Motor vehicles: Private car,7131,9310,23,731,8701,9455
Motor vehicles: Taxi,4198,4810,14,463,5127,5604
Motor vehicles: Public light bus,883,922,13,142,1144,1299
Motor vehicles: Private light bus,102,102,2,13,152,167
Motor vehicles: Public bus,2545,2633,26,317,3219,3562
Motor vehicles: Private bus,22,22,0,5,41,46
Motor vehicles: Light goods vehicle,2772,3086,25,318,3269,3612
Motor vehicles: Medium goods vehicle,835,902,14,109,1067,1190
Motor vehicles: Heavy goods vehicle,185,191,8,28,255,291
Motor vehicles: Tram,34,40,0,8,35,43
Motor vehicles: Light rail vehicle,6,6,0,2,8,10
Motor vehicles: Trailer,9,9,2,3,14,19
Motor vehicles: Village vehicle,3,3,0,0,3,3
Motor vehicles: Special purpose vehicle?,87,93,1,20,93,114
Motor vehicles: Golf-cart,0,0,0,0,0,0
Motor vehicles: Others,15,15,0,2,16,18
Motor vehicles: All,14665,24822,109,1872,16755,18736
Non-motor vehicles: Bicycle,1738,1839,8,186,1605,1799
Non-motor vehicles: Handcart,6,6,0,0,6,6
Non-motor vehicles: All,1744,1845,8,186,1611,1805
Unknown,22,22,0,3,23,26
All classes of vehicles,16102,26689,113,1996,18109,20218
