Figure 3.5 Vehicle involvements and involvement rates by class of vehicle and type of vehicle collision 2019,,,,,,,
Last updated on 28.10.2020,,,,,,,
,,,,,,,
,,,,,,,
Class of vehicle,Item,Type of vehicle collision: With collision (Vehicle/ Pedestrian),Type of vehicle collision: With collision (Vehicle/Vehicle),Type of vehicle collision: With collision (Vehicle/Object),Type of vehicle collision: With collision (All),Type of vehicle collision: Without collision,Type of vehicle collision: All
Motor vehicles: Motor cycle,Number involved in accident,97,1406,114,1617,1061,2678
Motor vehicles: Motor cycle,Involvement rate (per 1 000 vehicles),1.70,24.71,2.00,28.42,18.65,47.06
Motor vehicles: Motor cycle,Involvement rate (per million vehicle-kilometres),0.25,3.58,0.29,4.12,2.70,6.82
Motor vehicles: Private car,Number involved in accident,1083,7620,304,9007,303,9310
Motor vehicles: Private car,Involvement rate (per 1 000 vehicles),1.90,13.36,0.53,15.80,0.53,16.33
Motor vehicles: Private car,Involvement rate (per million vehicle-kilometres),0.17,1.19,0.05,1.41,0.05,1.46
Motor vehicles: Taxi,Number involved in accident,550,3907,144,4601,209,4810
Motor vehicles: Taxi,Involvement rate (per 1 000 vehicles),30.33,215.49,7.94,253.76,11.53,265.29
Motor vehicles: Taxi,Involvement rate (per million vehicle-kilometres),0.22,1.58,0.06,1.87,0.08,1.95
Motor vehicles: Public light bus,Number involved in accident,145,572,20,737,185,922
Motor vehicles: Public light bus,Involvement rate (per 1 000 vehicles),33.50,132.16,4.62,170.29,42.74,213.03
Motor vehicles: Public light bus,Involvement rate (per million vehicle-kilometres),0.39,1.55,0.05,2.00,0.50,2.50
Motor vehicles: Public bus,Number involved in accident,147,1045,45,1237,1396,2633
Motor vehicles: Public bus,Involvement rate (per 1 000 vehicles),11.08,78.74,3.39,93.21,105.19,198.40
Motor vehicles: Public bus,Involvement rate (per million vehicle-kilometres),0.19,1.34,0.06,1.59,1.80,3.39
Motor vehicles: Light goods vehicle,Number involved in accident,426,2485,104,3015,71,3086
Motor vehicles: Light goods vehicle,Involvement rate (per 1 000 vehicles),5.87,34.26,1.43,41.57,0.98,42.55
Motor vehicles: Light goods vehicle,Involvement rate (per million vehicle-kilometres),0.18,1.06,0.04,1.29,0.03,1.32
Motor vehicles: Medium & heavy goods vehicles,Number involved in accident,91,932,33,1056,37,1093
Motor vehicles: Medium & heavy goods vehicles,Involvement rate (per 1 000 vehicles),2.13,21.85,0.77,24.76,0.87,25.62
Motor vehicles: Medium & heavy goods vehicles,Involvement rate (per million vehicle-kilometres),0.08,0.81,0.03,0.91,0.03,0.95
Motor vehicles: Tram,Number involved in accident,10,22,1,33,7,40
Motor vehicles: Tram,Involvement rate (per 1 000 vehicles),62.11,136.65,6.21,204.97,43.48,248.45
Motor vehicles: Tram,Involvement rate (per million vehicle-kilometres),2.35,5.17,0.24,7.76,1.65,9.41
Motor vehicles: Light rail vehicle,Number involved in accident,0,5,0,5,1,6
Motor vehicles: Light rail vehicle,Involvement rate (per 1 000 vehicles),0.00,35.97,0.00,35.97,7.19,43.17
Motor vehicles: Light rail vehicle,Involvement rate (per million vehicle-kilometres),0.00,0.69,0.00,0.69,0.14,0.83
Motor vehicles: Other motor vehicles,Number involved in accident,50,158,6,214,30,244
Motor vehicles: Other motor vehicles,Involvement rate (per 1 000 vehicles),-,-,-,-,-,-
Motor vehicles: Other motor vehicles,Involvement rate (per million vehicle-kilometres),-,-,-,-,-,-
Motor vehicles: All,Number involved in accident,2599,18152,771,21522,3300,24822
Motor vehicles: All,Involvement rate (per 1 000 vehicles),3.29,22.97,0.98,27.23,4.18,31.41
Motor vehicles: All,Involvement rate (per million vehicle-kilometres),0.19,1.29,0.05,1.53,0.24,1.77
Non-motor vehicles: Bicycle,Number involved in accident,136,483,79,698,1141,1839
Non-motor vehicles: Handcart,Number involved in accident,0,5,1,6,0,6
Non-motor vehicles: All,Number involved in accident,136,488,80,704,1141,1845
Unknown,Number involved in accident,10,4,1,15,7,22
All,Number involved in accident,2745,18644,852,22241,4448,26689
