Figure 3.6 Vehicle involvements by manoeuvre and class of?vehicle 2019,,,,,,,,,,,
Last updated on 28.10.2020,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Manoeuvre,Class of vehicle: Motor cycle,Class of vehicle: Private car,Class of vehicle: Taxi,Class of vehicle: Public light bus,Class of vehicle: Public bus,Class of vehicle: Light goods vehicle,Class of vehicle: Medium & heavy goods vehicles,Class of vehicle: Bicycle,Class of vehicle: Others,Class of vehicle: Unknown,Class of vehicle: All
Straight ahead (with priority),1893,5228,2792,535,1646,1709,608,1627,185,11,16234
Changing lanes,88,721,313,64,118,211,103,20,9,4,1651
Overtaking off-side,49,56,17,12,6,20,6,13,1,1,181
Overtaking near-side,37,13,11,2,3,8,0,7,0,0,81
Straight ahead (against priority),108,650,381,55,94,211,62,66,20,2,1649
Turning right,88,503,283,32,93,178,31,35,8,2,1253
Turning left,117,200,89,29,62,106,44,19,5,0,671
Making U-turn,7,52,45,3,2,15,7,2,2,0,135
Slowing/stopping,178,1056,550,79,381,348,122,21,26,0,2761
Stopped in traffic,42,286,146,21,66,87,26,5,8,0,687
Starting in traffic,18,126,81,73,128,48,18,7,7,0,506
Leaving parking place,0,14,3,0,2,3,1,1,0,0,24
Parked,38,133,35,3,9,54,31,3,11,0,317
Reversing,2,233,39,9,16,78,27,0,10,0,414
Driverless moving,0,0,1,0,0,0,0,0,0,0,1
Ran off road,0,1,4,0,0,1,1,1,0,0,8
Others,11,18,11,3,5,4,4,8,4,0,68
Unknown,2,20,9,2,2,5,2,4,0,2,48
All,2678,9310,4810,922,2633,3086,1093,1839,296,22,26689
