Figure 3.7 Vehicle involvements by vehicle contributory factor and severity 2019,,,,
Last updated on 28.10.2020,,,,
,,,,
,,,,
Vehicle contributory factor,Severity: Fatal,Severity: Serious,Severity: Slight,Severity: All
Inadequate or no lights,0,0,6,6
Tyre blown out before impact,0,0,2,2
Defective load: insecure loading,0,0,2,2
Defective load: apparent overloading,1,0,2,3
Defective or illegal tyre,0,0,3,3
Broken down with hazard warning lights unlit,2,0,0,2
Unidentified vehicle (hit-and-run),0,24,112,136
Mechanical defect,0,5,13,18
Other vehicle factors,2,9,88,99
No vehicle factor,158,2773,23487,26418
All,163,2811,23715,26689
