Figure 3.8 Vehicle involvements by driver contributory factor and severity 2019,,,,
Last updated on 28.10.2020,,,,
,,,,
,,,,
Driver contributory factor,Severity: Fatal,Severity: Serious,Severity: Slight,Severity: All
Exceeding speed limit,0,1,1,2
Driving too fast for road condition,2,4,10,16
Failing to keep to nearside of road,1,0,3,4
Driving too close to kerb,0,1,36,37
Driving too close to vehicle in front,7,172,2480,2659
Driving too close to vehicle alongside,0,3,41,44
Careless lane changing,0,98,1544,1642
Reversing negligently,3,31,365,399
U turning negligently,0,24,92,116
Stopping negligently,0,4,51,55
Starting negligently,1,32,279,312
Disobey traffic signal/light,2,43,252,297
Disobey stop sign (halt),0,9,82,91
Disobey give way sign (slow),1,28,251,280
Disobey double white lines,1,4,15,20
Opened door negligently (driver),0,2,35,37
Failing to stop at a zebra crossing,0,6,7,13
Failure to signal movement correctly,0,0,1,1
Emerging from side road negligently,0,26,208,234
Driving on wrong side of road,0,11,29,40
Vision affected by atmospheric conditions/sunlight,0,1,1,2
Sleep or fatigue,0,3,6,9
Drug driving,0,0,3,3
Drink driving,1,7,41,49
"Sudden illness, or mental defect",0,4,7,11
Dazzled by other lights,0,2,4,6
Lost control of vehicle,8,218,1592,1818
Using telephone while driving,0,0,2,2
Improper or illegal turn,0,1,16,17
Overtaking on offside/nearside negligently,1,23,195,219
Turning right/left negligently,4,124,658,786
Rolling backwards/forwards-failed to set handbrake,1,3,14,18
Careless cycling,2,81,338,421
Driving inattentively,53,384,3155,3592
To avoid collision or otherwise : swerving/stopping suddenly,0,77,533,610
Furious/dangerous driving,5,10,11,26
Driving a dangerous vehicle,0,1,4,5
Failing to ensure the safety of passenger,1,31,225,257
Other driver factors,3,49,439,491
No driver factor,66,1293,10689,12048
All,163,2811,23715,26689
