Figure 3.9 Motor vehicle involvements by year of manufacture and selected class of motor vehicle 2019,,,,,,,
Last updated on 28.10.2020,,,,,,,
,,,,,,,
,,,,,,,
Year of manufacture,Class of motor vehicle: Motor cycle ,Class of motor vehicle: Private car,Class of motor vehicle: Taxi,Class of motor vehicle: Public light bus,Class of motor vehicle: Public bus,Class of motor vehicle: Light goods vehicle,Class of motor vehicle: Medium & heavy goods vehicles
Before 2003,179,594,784,44,207,19,11
2003,47,235,172,54,107,8,4
2004,58,363,138,149,30,8,9
2005,55,384,60,216,17,57,13
2006,68,395,91,14,37,52,32
2007,92,545,99,34,52,153,35
2008,106,647,130,15,42,198,60
2009,88,470,73,26,71,64,25
2010,69,630,91,38,180,146,61
2011,148,582,123,4,80,163,74
2012,139,649,87,15,148,178,69
2013,150,667,330,12,243,242,90
2014,217,656,331,23,220,387,142
2015,268,685,780,38,437,364,157
2016,276,497,485,36,242,246,82
2017,266,582,740,71,267,333,121
2018,290,493,159,83,190,341,77
2019,150,139,100,34,25,102,16
Unknown,12,97,37,16,38,25,15
All,2678,9310,4810,922,2633,3086,1093
