"主要统计数字概览","","","","","","","","","","",""
"修订日期 28.10.2020","","","","","","","","","","",""
"","","","","","","","","","","",""
"","","","","","","","","","","",""
"主要统计数字","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"基本道路交通统计数字: 领牌机动车辆总数(年中)","575686","594723","618774","639705","665643","690052","714927","737312","757705","776729","790336"
"基本道路交通统计数字: 领牌私家车辆总数(年中)","385675","402490","424758","443442","464595","486168","509207","528849","545753","560158","570239"
"基本道路交通统计数字: 道路长度 ─ 行车道(公里)","2050","2076","2086","2090","2093","2099","2101","2107","2112","2123","2127"
"基本道路交通统计数字: 每年车辆行驶里数(百万公里)","11784.9 ","12014.1 ","12344.4 ","12460.5 ","12835.6 ","12844.2 ","13288.2 ","13691.7 ","13665.4 ","13961.8 ","14028.9 "
"基本道路交通统计数字: 估计人口(年中以千计)","6972.8 ","7024.2 ","7071.6 ","7150.1 ","7178.9 ","7229.5 ","7291.3 ","7336.6 ","7391.7 ","7451.0 ","7507.4 "
"基本道路交通统计数字: 每千人领牌机动车辆拥有率"," 82.6"," 84.7"," 87.5"," 89.5"," 92.7"," 95.4"," 98.1"," 100.5"," 102.5"," 104.2"," 105.3"
"基本道路交通统计数字: 每千人领牌私家车辆拥有率"," 55.3"," 57.3"," 60.1"," 62.0"," 64.7"," 67.2"," 69.8"," 72.1"," 73.8"," 75.2"," 76.0"
"基本道路交通统计数字: 每公里行车道路的机动车辆数目"," 281"," 286"," 297"," 306"," 318"," 329"," 340"," 350"," 359"," 366"," 372"
"道路交通意外伤亡者及意外数字: 伤亡人数(死亡者)","139","117","130","120","130","100","122","132","108","135","113"
"道路交通意外伤亡者及意外数字: 伤亡人数(重伤者)","2096","2160","2326","2521","2630","2615","2703","2492","2214","1840","1996"
"道路交通意外伤亡者及意外数字: 伤亡人数(轻伤者)","15903","16847","17347","17569","17836","17139","17556","17508","17566","17662","18109"
"道路交通意外伤亡者及意外数字: 伤亡人数(所有)","18138","19124","19803","20210","20596","19854","20381","20132","19888","19637","20218"
"道路交通意外伤亡者及意外数字: 意外宗数(致命)","126","114","128","116","128","99","117","129","104","107","107"
"道路交通意外伤亡者及意外数字: 意外宗数(严重)","1943","2052","2190","2385","2476","2508","2510","2379","2070","1682","1831"
"道路交通意外伤亡者及意外数字: 意外宗数(轻微)","12247","12777","13223","13393","13485","13183","13543","13591","13551","14146","14164"
"道路交通意外伤亡者及意外数字: 意外宗数(所有)","14316","14943","15541","15894","16089","15790","16170","16099","15725","15935","16102"
"道路交通意外伤亡者及意外数字: 伤亡率(每宗意外计)","1.27","1.28","1.27","1.27","1.28","1.26","1.26","1.25","1.26","1.23","1.26"
"道路交通意外伤亡者及意外数字: 伤亡率(每千名人口计)","2.60 ","2.72 ","2.80 ","2.83 ","2.87 ","2.75 ","2.80 ","2.74 ","2.69 ","2.64 ","2.69 "
"道路交通意外伤亡者及意外数字: 伤亡率(每千部领牌车辆计)","31.5 ","32.2 ","32.0 ","31.6 ","30.9 ","28.8 ","28.5 ","27.3 ","26.2 ","25.3 ","25.6 "
"道路交通意外伤亡者及意外数字: 死亡率(每千名伤亡者计)","7.66","6.12","6.56","5.94","6.31","5.04","5.99","6.56","5.43","6.87","5.59"
"道路交通意外伤亡者及意外数字: 死亡率(每千宗意外计)","9.71","7.83","8.36","7.55","8.08","6.33","7.54","8.20","6.87","8.47","7.02"
"道路交通意外伤亡者及意外数字: 死亡率(每百万人口计)","19.9 ","16.7 ","18.4 ","16.8 ","18.1 ","13.8 ","16.7 ","18.0 ","14.6 ","18.1 ","15.1 "
"道路交通意外伤亡者及意外数字: 死亡率(每千登记死亡人数计)","3.39 ","2.74 ","3.08 ","2.75 ","3.00 ","2.19 ","2.61 ","2.83 ","2.35 ","2.84 ","2.32 "
"道路交通意外伤亡者及意外数字: 意外率(每千人口计)","2.05 ","2.13 ","2.20 ","2.22 ","2.24 ","2.18 ","2.22 ","2.19 ","2.13 ","2.14 ","2.14 "
"道路交通意外伤亡者及意外数字: 意外率(每千部领牌车辆计)","24.9 ","25.1 ","25.1 ","24.8 ","24.2 ","22.9 ","22.6 ","21.8 ","20.8 ","20.5 ","20.4 "
"道路交通意外伤亡者及意外数字: 意外率(每公里道路计)","6.98 ","7.20 ","7.45 ","7.60 ","7.69 ","7.52 ","7.70 ","7.64 ","7.45 ","7.51 ","7.57 "
"道路交通意外伤亡者及意外数字: 意外率(每百万车辆行驶公里计)","1.21 ","1.24 ","1.26 ","1.28 ","1.25 ","1.23 ","1.22 ","1.18 ","1.15 ","1.14 ","1.15 "
"涉及意外车辆数字 : 涉及意外车数(机动车辆)","19608","20407","21078","21175","21833","21729","22361","23291","23212","23661","24822"
"涉及意外车辆数字 : 涉及意外车数(非机动车辆)","2073","2195","2655","2949","2840","2703","2824","2367","2160","2065","1867"
"涉及意外车辆数字 : 涉及意外车数(所有)","21681","22602","23733","24124","24673","24432","25185","25658","25372","25726","26689"
"涉及意外车辆数字 : 机动车辆涉及意外率(每千领牌车辆计)","34.1 ","34.3 ","34.1 ","33.1 ","32.8 ","31.5 ","31.3 ","31.6 ","30.6 ","30.5 ","31.4 "
"涉及意外车辆数字 : 机动车辆涉及意外率(每百万车辆行驶公里计)","1.66 ","1.70 ","1.71 ","1.70 ","1.70 ","1.69 ","1.68 ","1.70 ","1.70 ","1.69 ","1.77 "
