Age,No. of pedestrian casualties (Male),Mid-year population (Male) ('000),Pedestrian casualties per 1 000 population (Male),No. of pedestrian casualties (Female),Mid-year population (Female) ('000),Pedestrian casualties per 1 000 population (Female),No. of pedestrian casualties (Unknown sex),No. of pedestrian casualties (All),Mid-year population (All) ('000),Pedestrian casualties per 1 000 population (All)
Under 5,20,104.1,0.19,12,97.7,0.12,0,32,201.8,0.16
5 - 9,47,138.2,0.34,25,131.1,0.19,0,72,269.3,0.27
10 - 14,59,161.7,0.36,40,148.9,0.27,0,99,310.6,0.32
15 - 19,41,150,0.27,27,141.4,0.19,0,68,291.4,0.23
20 - 24,70,159.1,0.44,52,159.3,0.33,0,122,318.4,0.38
25 - 29,79,205.4,0.38,65,226.8,0.29,0,144,432.2,0.33
30 - 34,84,226.7,0.37,70,285.8,0.24,0,154,512.5,0.30
35 - 39,84,231.8,0.36,67,333,0.20,0,151,564.8,0.27
40 - 44,84,238.8,0.35,72,361.4,0.20,1,157,600.2,0.26
45 - 49,95,234.4,0.41,67,332.5,0.20,0,162,566.9,0.29
50 - 54,98,246.4,0.40,105,341.3,0.31,0,203,587.7,0.35
55 - 59,139,262.3,0.53,122,329.5,0.37,0,261,591.8,0.44
60 - 64,135,305.9,0.44,141,340.7,0.41,0,276,646.6,0.43
65 - 69,118,276,0.43,135,292.5,0.46,1,254,568.5,0.45
70 - 74,70,205.5,0.34,118,219.3,0.54,0,188,424.8,0.44
75 - 79,60,122,0.49,77,132.1,0.58,0,137,254.1,0.54
80 - 84,42,77.3,0.54,46,81.3,0.57,0,88,158.6,0.55
85 & over,60,89.6,0.67,57,146.3,0.39,0,117,235.9,0.50
Unknown,27,-,-,36,-,-,3,66,-,-
All,1412,3435.2,0.41,1334,4100.9,0.33,5,2751,7536.1,0.37
