Age,Item,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Under 5,Number,330,314,322,306,286,222,189,79,196,124,162
Under 5,Number per 1000 population,1.27,1.18,1.14,1.09,1.05,0.83,0.72,0.32,0.86,0.58,0.80
5 - 9,Number,506,504,450,409,361,379,321,207,310,194,308
5 - 9,Number per 1000 population,2.04,1.92,1.61,1.40,1.20,1.24,1.04,0.68,1.07,0.72,1.14
10 - 14,Number,510,506,448,370,384,367,371,313,439,312,375
10 - 14,Number per 1000 population,1.77,1.84,1.69,1.43,1.46,1.34,1.32,1.09,1.52,1.08,1.21
15 - 19,Number,725,640,682,537,478,457,418,458,538,441,519
15 - 19,Number per 1000 population,1.79,1.66,1.88,1.58,1.53,1.55,1.48,1.69,2.03,1.64,1.78
20 - 24,Number,1417,1323,1313,1299,1267,1108,1059,1178,1409,1161,1357
20 - 24,Number per 1000 population,3.10,2.93,2.93,2.92,2.89,2.62,2.66,3.22,4.32,3.83,4.26
25 - 29,Number,1969,1934,1926,1814,1819,1741,1924,2035,2470,2116,2336
25 - 29,Number per 1000 population,3.81,3.76,3.75,3.56,3.60,3.50,3.93,4.24,5.39,4.85,5.40
30 - 34,Number,2242,2140,2123,2165,2033,1962,2047,1929,2370,2168,2701
30 - 34,Number per 1000 population,3.91,3.70,3.67,3.75,3.58,3.52,3.68,3.53,4.50,4.23,5.27
35 - 39,Number,2039,1900,2099,2122,1989,2067,2222,2106,2365,2030,2427
35 - 39,Number per 1000 population,3.65,3.42,3.75,3.71,3.40,3.44,3.65,3.48,4.02,3.62,4.30
40 - 44,Number,1843,1819,1917,1810,1914,1848,1923,1856,2172,1899,2395
40 - 44,Number per 1000 population,3.19,3.15,3.31,3.18,3.34,3.24,3.36,3.20,3.70,3.25,3.99
45 - 49,Number,1796,1788,1724,1745,1640,1768,1788,1649,1988,1655,1801
45 - 49,Number per 1000 population,2.95,3.05,3.03,3.08,2.85,3.03,3.02,2.79,3.41,2.92,3.18
50 - 54,Number,2093,1901,1952,1948,1846,1730,1762,1484,1739,1420,1682
50 - 54,Number per 1000 population,3.20,2.89,2.98,3.03,2.95,2.88,2.99,2.58,3.02,2.46,2.86
55 - 59,Number,1767,1743,1860,1939,1865,1842,1825,1556,1758,1458,1684
55 - 59,Number per 1000 population,3.10,2.95,3.05,3.11,2.95,2.85,2.80,2.41,2.79,2.41,2.85
60 - 64,Number,1195,1241,1279,1357,1431,1526,1572,1355,1569,1338,1597
60 - 64,Number per 1000 population,2.70,2.70,2.70,2.74,2.72,2.72,2.68,2.24,2.56,2.13,2.47
65 - 69,Number,644,713,811,879,939,978,1077,862,1007,939,1161
65 - 69,Number per 1000 population,2.18,2.19,2.23,2.22,2.27,2.26,2.39,1.85,2.05,1.79,2.04
70 - 74,Number,435,422,409,436,489,518,611,474,631,537,691
70 - 74,Number per 1000 population,2.04,2.00,1.91,1.97,1.96,1.86,1.97,1.38,1.70,1.36,1.63
75 - 79,Number,385,399,386,336,303,325,314,253,273,295,379
75 - 79,Number per 1000 population,1.83,1.91,1.84,1.63,1.54,1.71,1.67,1.37,1.39,1.33,1.49
80 - 84,Number,327,269,332,321,288,281,289,169,222,151,215
80 - 84,Number per 1000 population,2.07,1.63,2.00,1.92,1.69,1.63,1.68,0.99,1.34,0.95,1.36
85 & over,Number,192,181,225,197,221,247,216,162,189,147,221
85 & over,Number per 1000 population,1.33,1.19,1.39,1.14,1.20,1.27,1.05,0.74,0.84,0.64,0.94
Unknown,Number,181,117,123,142,335,271,290,235,106,146,258
All,Number,20596,19854,20381,20132,19888,19637,20218,18360,21751,18531,22269
All,Number per 1000 population,2.87,2.75,2.80,2.74,2.69,2.63,2.69,2.45,2.93,2.52,2.95
