Age,Class of road user,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Under 20,Pedestrian,519,550,479,436,404,388,324,175,304,223,271
Under 20,Passenger,951,853,756,713,704,606,572,289,495,368,629
Under 20,Driver (All),601,561,667,473,401,431,403,593,684,480,464
Under 20,Driver (Motor cyclist),15,8,11,8,9,5,13,11,23,39,35
Under 20,Driver (Cyclist),564,541,632,447,382,412,384,568,641,428,415
Under 20,All,2071,1964,1902,1622,1509,1425,1299,1057,1483,1071,1364
20 - 39,Pedestrian,931,871,781,804,662,668,598,491,562,431,571
20 - 39,Passenger,2535,2262,2310,2293,2229,1986,2124,1716,2218,1993,2690
20 - 39,Driver (All),4201,4164,4370,4303,4217,4224,4530,5041,5834,5051,5560
20 - 39,Driver (Motor cyclist),1297,1296,1288,1278,1190,1240,1331,1570,1735,1545,1479
20 - 39,Driver (Cyclist),900,824,810,636,544,473,404,755,854,634,484
20 - 39,All,7667,7297,7461,7400,7108,6878,7252,7248,8614,7475,8821
40 - 59,Pedestrian,1198,1135,1128,1038,958,959,845,714,866,759,783
40 - 59,Passenger,2288,2184,2198,2136,2010,1830,1876,1241,1558,1276,1765
40 - 59,Driver (All),4013,3932,4127,4268,4297,4399,4577,4590,5233,4397,5014
40 - 59,Driver (Motor cyclist),683,759,771,810,809,890,983,1052,1169,953,925
40 - 59,Driver (Cyclist),727,711,700,663,578,519,543,855,890,637,574
40 - 59,All,7499,7251,7453,7442,7265,7188,7298,6545,7657,6432,7562
60 & over,Pedestrian,978,1001,1092,1104,1064,1116,1058,870,1050,1011,1060
60 & over,Passenger,1358,1295,1388,1270,1373,1442,1460,896,1097,863,1325
60 & over,Driver (All),842,929,962,1152,1234,1317,1561,1509,1744,1533,1879
60 & over,Driver (Motor cyclist),46,50,66,81,100,81,134,130,157,132,124
60 & over,Driver (Cyclist),221,235,252,230,271,277,285,428,455,379,350
60 & over,All,3178,3225,3442,3526,3671,3875,4079,3275,3891,3407,4264
Unknown age,Pedestrian,68,47,33,47,102,75,80,54,33,41,66
Unknown age,Passenger,112,66,87,93,225,187,198,162,64,94,174
Unknown age,Driver (All),1,4,3,2,8,9,12,19,9,11,18
Unknown age,Driver (Motor cyclist),0,0,0,0,1,1,0,0,0,0,1
Unknown age,Driver (Cyclist),1,4,1,2,4,6,9,17,9,11,16
Unknown age,All,181,117,123,142,335,271,290,235,106,146,258
All ages,Pedestrian,3694,3604,3513,3429,3190,3206,2905,2304,2815,2465,2751
All ages,Passenger,7244,6660,6739,6505,6541,6051,6230,4304,5432,4594,6583
All ages,Driver (All),9658,9590,10129,10198,10157,10380,11083,11752,13504,11472,12935
All ages,Driver (Motor cyclist),2041,2113,2136,2177,2109,2217,2461,2763,3084,2669,2564
All ages,Driver (Cyclist),2413,2315,2395,1978,1779,1687,1625,2623,2849,2089,1839
All ages,All,20596,19854,20381,20132,19888,19637,20218,18360,21751,18531,22269
