Age,No. of casualties (Male),Mid-year population (Male) ('000) ,Casualties per 1 000 population (Male),No. of casualties (Female),Mid-year population (Female) ('000) ,Casualties per 1 000 population (Female),No. of casualties (Unknown sex),No. of casualties (All),Mid-year population (All) ('000) ,Casualties per 1 000 population (All)
Under 5,103,104.1,0.99,59,97.7,0.60,0,162,201.8,0.80
5 - 9,179,138.2,1.29,129,131.1,0.98,0,308,269.3,1.14
10 - 14,253,161.7,1.56,122,148.9,0.82,0,375,310.6,1.21
15 - 19 ,383,150,2.55,136,141.4,0.96,0,519,291.4,1.78
20 - 24 ,981,159.1,6.17,376,159.3,2.36,0,1357,318.4,4.26
25 - 29 ,1709,205.4,8.32,627,226.8,2.76,0,2336,432.2,5.40
30 - 34 ,1984,226.7,8.75,717,285.8,2.51,0,2701,512.5,5.27
35 - 39 ,1813,231.8,7.82,614,333,1.84,0,2427,564.8,4.30
40 - 44 ,1814,238.8,7.60,580,361.4,1.60,1,2395,600.2,3.99
45 - 49 ,1325,234.4,5.65,476,332.5,1.43,0,1801,566.9,3.18
50 - 54 ,1141,246.4,4.63,541,341.3,1.59,0,1682,587.7,2.86
55 - 59 ,1180,262.3,4.50,504,329.5,1.53,0,1684,591.8,2.85
60 - 64,1115,305.9,3.64,481,340.7,1.41,1,1597,646.6,2.47
65 - 69 ,784,276,2.84,376,292.5,1.29,1,1161,568.5,2.04
70 - 74 ,380,205.5,1.85,311,219.3,1.42,0,691,424.8,1.63
75 - 79 ,196,122,1.61,183,132.1,1.39,0,379,254.1,1.49
80 - 84 ,98,77.3,1.27,117,81.3,1.44,0,215,158.6,1.36
85 & over ,115,89.6,1.28,106,146.3,0.72,0,221,235.9,0.94
Unknown ,101,-,-,148,-,-,9,258,-,-
All,15654,3435.2,4.56,6603,4100.9,1.61,12,22269,7536.1,2.95
