Age,Degree of injury: Killed (Male),Degree of injury: Killed (Female),Degree of injury: Killed (All),Degree of injury: Seriously injured (Male),Degree of injury: Seriously injured (Female),Degree of injury: Seriously injured (All),Degree of injury: Slightly injured (Male),Degree of injury: Slightly injured (Female),Degree of injury: Slightly injured (Unknown sex),Degree of injury: Slightly injured (All),Degree of injury: All (Male),Degree of injury: All (Female),Degree of injury: All (Unknown Sex),All
Under 5,0,0,0,5,1,6,98,58,0,156,103,59,0,162
5 - 9,0,0,0,5,2,7,174,127,0,301,179,129,0,308
10 - 14,0,0,0,9,1,10,244,121,0,365,253,122,0,375
15 - 19,0,0,0,18,4,22,365,132,0,497,383,136,0,519
20 - 24,4,0,4,40,14,54,937,362,0,1299,981,376,0,1357
25 - 29,2,0,2,63,19,82,1644,608,0,2252,1709,627,0,2336
30 - 34,3,1,4,64,22,86,1917,694,0,2611,1984,717,0,2701
35 - 39,2,0,2,78,24,102,1733,590,0,2323,1813,614,0,2427
40 - 44,6,1,7,69,24,93,1739,555,1,2295,1814,580,1,2395
45 - 49,2,1,3,80,21,101,1243,454,0,1697,1325,476,0,1801
50 - 54,6,1,7,57,41,98,1078,499,0,1577,1141,541,0,1682
55 - 59,5,3,8,65,29,94,1110,472,0,1582,1180,504,0,1684
60 - 64,9,3,12,64,35,99,1042,443,1,1486,1115,481,1,1597
65 - 69,3,7,10,55,41,96,726,328,1,1055,784,376,1,1161
70 - 74,3,4,7,24,26,50,353,281,0,634,380,311,0,691
75 - 79,6,2,8,17,23,40,173,158,0,331,196,183,0,379
80 - 84,5,4,9,12,15,27,81,98,0,179,98,117,0,215
85 & over,7,6,13,11,13,24,97,87,0,184,115,106,0,221
Unknown,0,0,0,1,1,2,100,147,9,256,101,148,9,258
All,63,33,96,737,356,1093,14854,6214,12,21080,15654,6603,12,22269
