Environment contributory factor,Severity: Fatal,Severity: Serious,Severity: Slight,Severity: All
Slippery road (not related to weather),0,8,127,135
Slippery road (caused by weather),0,2,57,59
High wind,0,0,5,5
Steep slope,0,0,2,2
Object or animal in road,0,11,125,136
Defective traffic signal,0,0,1,1
Potholes,0,1,26,27
Open trench in roadworks,0,0,1,1
Obstructed road,0,0,7,7
Pedestrian negligence,1,3,19,23
Inadequate light/sign at road work,0,0,8,8
Vision obscured,0,0,8,8
No accident environment factor,95,975,15707,16777
All,96,1000,16093,17189
