Selected road,Severity: Fatal ,Severity: Serious,Severity: Slight,Severity: All,Accident rate per million vehicle-kilometres
Tuen Mun Road,1,22,267,290,0.40
Tolo Highway,0,8,150,158,0.28
Island Eastern Corridor,0,8,118,126,0.49
Yuen Long Highway,0,1,92,93,0.21
Tsuen Wan Road,0,4,80,84,0.70
Kwun Tong Bypass,0,6,67,73,0.44
Fanling Highway,0,5,61,66,0.19
Lantau Link,0,2,51,53,0.31
Tsing Kwai Highway,0,9,39,48,0.45
Tate's Cairn Highway,0,3,42,45,0.55
Tai Po Road - Sha Tin,0,3,36,39,0.28
Tsing Long Highway,1,4,32,37,0.20
North Lantau Highway,1,7,28,36,0.16
San Tin Highway,0,2,33,35,0.13
West Kowloon Highway,0,0,35,35,0.31
Tsing Sha Highway,0,5,20,25,0.15
Sha Tin Road,0,2,10,12,0.18
Cheung Tsing Highway,0,1,9,10,0.37
All selected roads,3,92,1170,1265,0.30
All roads,96,1000,16093,17189,1.17
