Region,Severity,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Hong Kong Island,Fatal,19,12,14,12,8,18,13,17,19,13,13
Hong Kong Island,Serious,414,450,475,446,431,433,425,386,359,240,290
Hong Kong Island,Slight,2597,2529,2383,2414,2269,2375,2226,1937,2415,2142,2575
Hong Kong Island,All,3030,2991,2872,2872,2708,2826,2664,2340,2793,2395,2878
Kowloon,Fatal,49,34,53,48,43,29,32,29,28,29,29
Kowloon,Serious,585,627,612,546,423,454,392,315,269,178,170
Kowloon,Slight,4577,4444,4622,4573,4617,4694,4881,4291,5195,4554,5390
Kowloon,All,5211,5105,5287,5167,5083,5177,5305,4635,5492,4761,5589
New Territories,Fatal,60,53,50,69,53,60,62,50,47,47,54
New Territories,Serious,1477,1431,1423,1387,1216,795,1014,1211,1196,628,540
New Territories,Slight,6311,6210,6538,6604,6665,7077,7057,7062,8303,7276,8128
New Territories,All,7848,7694,8011,8060,7934,7932,8133,8323,9546,7951,8722
All regions,Fatal,128,99,117,129,104,107,107,96,94,89,96
All regions,Serious,2476,2508,2510,2379,2070,1682,1831,1912,1824,1046,1000
All regions,Slight,13485,13183,13543,13591,13551,14146,14164,13290,15913,13972,16093
All regions,All,16089,15790,16170,16099,15725,15935,16102,15298,17831,15107,17189
