Type of accident collision,Severity,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Vehicle/ Pedestrian,Fatal,79,61,79,81,60,59,57,51,52,52,62
Vehicle/ Pedestrian,Serious,725,712,753,734,635,575,569,464,428,344,336
Vehicle/ Pedestrian,Slight,2525,2537,2386,2357,2263,2326,2111,1660,2131,1907,2234
Vehicle/ Pedestrian,All,3329,3310,3218,3172,2958,2960,2737,2175,2611,2303,2632
Vehicle/ Vehicle,Fatal,24,27,23,29,30,34,28,25,29,20,21
Vehicle/ Vehicle,Serious,762,761,789,767,724,573,706,685,637,394,351
Vehicle/ Vehicle,Slight,5733,5868,6286,6711,6894,7242,7762,7270,8975,7795,9275
Vehicle/ Vehicle,All,6519,6656,7098,7507,7648,7849,8496,7980,9641,8209,9647
Vehicle/ Object,Fatal,22,7,10,14,11,10,13,11,6,14,11
Vehicle/ Object,Serious,399,203,167,161,134,128,106,121,119,83,82
Vehicle/ Object,Slight,1646,690,750,751,681,701,700,565,642,771,953
Vehicle/ Object,All,2067,900,927,926,826,839,819,697,767,868,1046
Vehicle/ None,Fatal,3,4,5,5,3,4,9,9,7,3,2
Vehicle/ None,Serious,590,832,801,717,577,406,450,642,640,225,231
Vehicle/ None,Slight,3581,4088,4121,3772,3713,3877,3591,3795,4165,3499,3631
Vehicle/ None,All,4174,4924,4927,4494,4293,4287,4050,4446,4812,3727,3864
All types,Fatal,128,99,117,129,104,107,107,96,94,89,96
All types,Serious,2476,2508,2510,2379,2070,1682,1831,1912,1824,1046,1000
All types,Slight,13485,13183,13543,13591,13551,14146,14164,13290,15913,13972,16093
All types,All,16089,15790,16170,16099,15725,15935,16102,15298,17831,15107,17189
