Hour of the day,Item,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,All Days
0000 - 0059,Number,58,44,61,56,69,66,73,427
0100 - 0159,Number,35,29,23,51,47,57,38,280
0200 - 0259,Number,27,24,24,28,31,45,48,227
0300 - 0359,Number,16,14,16,12,17,25,25,125
0400 - 0459,Number,9,23,15,15,15,25,30,132
0500 - 0559,Number,13,20,14,26,25,32,34,164
0600 - 0659,Number,53,40,50,49,38,38,37,305
0700 - 0759,Number,127,95,135,121,112,70,53,713
0800 - 0859,Number,180,150,183,191,160,80,62,1006
0900 - 0959,Number,102,157,124,128,147,105,94,857
1000 - 1059,Number,118,129,113,97,128,137,104,826
1100 - 1159,Number,130,105,105,152,126,163,136,917
1200 - 1259,Number,125,126,146,140,129,152,146,964
1300 - 1359,Number,131,128,132,135,147,162,147,982
1400 - 1459,Number,141,134,138,141,134,174,164,1026
1500 - 1559,Number,146,180,138,152,164,152,135,1067
1600 - 1659,Number,177,160,155,174,147,179,145,1137
1700 - 1759,Number,157,176,167,166,168,188,157,1179
1800 - 1859,Number,190,176,180,187,187,204,142,1266
1900 - 1959,Number,129,152,145,147,154,108,100,935
2000 - 2059,Number,91,102,109,118,85,92,97,694
2100 - 2159,Number,79,96,98,128,88,115,91,695
2200 - 2259,Number,97,93,89,102,117,105,95,698
2300 - 2359,Number,62,83,68,81,98,96,79,567
All hours,Number,2393,2436,2428,2597,2533,2570,2232,17189
0000 - 0059,Average number,,,,,,,,1.17 
0100 - 0159,Average number,,,,,,,,0.77 
0200 - 0259,Average number,,,,,,,,0.62 
0300 - 0359,Average number,,,,,,,,0.34 
0400 - 0459,Average number,,,,,,,,0.36 
0500 - 0559,Average number,,,,,,,,0.45 
0600 - 0659,Average number,,,,,,,,0.84 
0700 - 0759,Average number,,,,,,,,1.95 
0800 - 0859,Average number,,,,,,,,2.76 
0900 - 0959,Average number,,,,,,,,2.35 
1000 - 1059,Average number,,,,,,,,2.26 
1100 - 1159,Average number,,,,,,,,2.51 
1200 - 1259,Average number,,,,,,,,2.64 
1300 - 1359,Average number,,,,,,,,2.69 
1400 - 1459,Average number,,,,,,,,2.81 
1500 - 1559,Average number,,,,,,,,2.92 
1600 - 1659,Average number,,,,,,,,3.12 
1700 - 1759,Average number,,,,,,,,3.23 
1800 - 1859,Average number,,,,,,,,3.47 
1900 - 1959,Average number,,,,,,,,2.56 
2000 - 2059,Average number,,,,,,,,1.90 
2100 - 2159,Average number,,,,,,,,1.90 
2200 - 2259,Average number,,,,,,,,1.91 
2300 - 2359,Average number,,,,,,,,1.55 
All hours,Average number,,,,,,,,1.96 
All hours,Average number in the day,46.0 ,46.8 ,46.7 ,49.9 ,48.7 ,49.4 ,42.1 ,47.1 
