Year of manufacture,Class of motor vehicle: Motor cycle,Class of motor vehicle: Private car,Class of motor vehicle: Taxi,Class of motor vehicle: Public light bus,Class of motor vehicle: Public bus,Class of motor vehicle: Light goods vehicle,Class of motor vehicle: Medium & heavy goods vehicles
Before 2007,14.2 ,15.4 ,199.6 ,178.2 ,252.5 ,13.9 ,20.8 
2007,23.1 ,16.4 ,232.5 ,212.1 ,118.4 ,34.3 ,4.6 
2008,19.9 ,18.5 ,201.0 ,96.8 ,51.4 ,40.4 ,24.3 
2009,24.4 ,17.8 ,326.0 ,174.4 ,117.3 ,37.5 ,17.8 
2010,35.6 ,18.4 ,310.9 ,171.8 ,216.3 ,42.6 ,19.5 
2011,30.3 ,19.1 ,317.5 ,200.0 ,120.4 ,33.2 ,21.8 
2012,37.6 ,18.7 ,240.1 ,300.0 ,132.7 ,40.3 ,19.5 
2013,26.0 ,19.6 ,294.8 ,128.2 ,155.5 ,35.9 ,20.4 
2014,33.7 ,20.8 ,256.8 ,122.4 ,131.5 ,35.9 ,23.4 
2015,27.3 ,21.8 ,295.5 ,190.8 ,193.9 ,40.3 ,25.6 
2016,36.8 ,22.4 ,277.8 ,169.7 ,163.4 ,35.7 ,27.3 
2017,36.8 ,18.9 ,282.5 ,207.3 ,192.5 ,45.8 ,26.5 
2018,42.1 ,16.3 ,284.6 ,177.4 ,160.9 ,49.0 ,27.5 
2019,35.0 ,15.5 ,399.8 ,224.9 ,126.8 ,42.1 ,31.3 
2020,50.0 ,17.5 ,336.7 ,209.0 ,197.9 ,51.9 ,46.6 
2021,52.6 ,17.3 ,361.1 ,0.0 ,189.9 ,57.3 ,35.9 
2022,56.1 ,23.1 ,379.1 ,135.1 ,108.5 ,52.8 ,36.2 
2023,59.8 ,29.0 ,452.6 ,333.3 ,288.9 ,71.3 ,49.4 
All,37.4 ,19.1 ,295.2 ,191.9 ,166.2 ,43.0 ,26.3 
