Selected class of motor vehicle,Item,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Motor cycle,Number involved in accident,2222,2281,2328,2355,2280,2386,2678,3003,3376,2910,2801
Motor cycle,Number licensed (mid-year),40608,43082,46134,49098,51596,54395,56901,61574,69150,73637,74969
Motor cycle,Annual vehicle-kilometres (millions),295,306,326,339,360,361,392,466,508,488,487
Motor cycle,"Involvement rate (per 1,000 vehicles)",54.7,52.9,50.5,48.0,44.2,43.9,47.1,48.8,48.8,39.5,37.4
Motor cycle,Involvement rate (per million vehicle-kilometres),7.53,7.45,7.14,6.95,6.34,6.61,6.83,6.45,6.65,5.96,5.75
Private car,Number involved in accident,7093,7224,7757,8207,8607,8813,9310,8895,10702,9055,11067
Private car,Number licensed (mid-year),464595,486168,509207,528849,545753,560158,570239,572211,581863,572418,580376
Private car,Annual vehicle-kilometres (millions),5262,5323,5591,5929,5998,6158,6382,6331,6602,6496,7038
Private car,"Involvement rate (per 1,000 vehicles)",15.3,14.9,15.2,15.5,15.8,15.7,16.3,15.5,18.4,15.8,19.1
Private car,Involvement rate (per million vehicle-kilometres),1.35,1.36,1.39,1.38,1.43,1.43,1.46,1.41,1.62,1.39,1.57
Taxi,Number involved in accident,4395,4211,4332,4493,4359,4436,4810,3857,4637,4042,5265
Taxi,Number licensed (mid-year),18114,18084,18040,18156,18144,18144,18131,18067,18032,17969,17837
Taxi,Annual vehicle-kilometres (millions),2475,2466,2534,2564,2472,2535,2462,2114,2325,2357,2444
Taxi,"Involvement rate (per 1,000 vehicles)",242.6,232.9,240.1,247.5,240.2,244.5,265.3,213.5,257.2,224.9,295.2
Taxi,Involvement rate (per million vehicle-kilometres),1.78,1.71,1.71,1.75,1.76,1.75,1.95,1.82,1.99,1.71,2.15
Public light bus,Number involved in accident,1128,1085,1105,1080,1010,958,922,669,759,673,791
Public light bus,Number licensed (mid-year),4348,4341,4347,4343,4343,4327,4328,4305,4235,4151,4122
Public light bus,Annual vehicle-kilometres (millions),399,415,423,420,395,382,369,327,328,299,318
Public light bus,"Involvement rate (per 1,000 vehicles)",259.4,249.9,254.2,248.7,232.6,221.4,213.0,155.4,179.2,162.1,191.9
Public light bus,Involvement rate (per million vehicle-kilometres),2.83,2.61,2.61,2.57,2.56,2.51,2.50,2.04,2.32,2.25,2.49
Public bus,Number involved in accident,2847,2850,2762,2722,2726,2799,2633,1720,1888,1585,2054
Public bus,Number licensed (mid-year),12701,12790,12785,12772,12941,13076,13271,13200,12648,12256,12356
Public bus,Annual vehicle-kilometres (millions),833,809,793,802,794,814,776,618,648,677,778
Public bus,"Involvement rate (per 1,000 vehicles)",224.2,222.8,216.0,213.1,210.6,214.1,198.4,130.3,149.3,129.3,166.2
Public bus,Involvement rate (per million vehicle-kilometres),3.42,3.52,3.48,3.39,3.43,3.44,3.39,2.78,2.91,2.34,2.64
Light goods vehicle,Number involved in accident,2706,2621,2708,2947,2790,2896,3086,2709,3316,2956,3248
Light goods vehicle,Number licensed (mid-year),72694,72465,71092,70673,70832,71822,72525,73293,74879,75855,75551
Light goods vehicle,Annual vehicle-kilometres (millions),2199,2199,2256,2285,2273,2374,2331,2281,2420,2466,2390
Light goods vehicle,"Involvement rate (per 1,000 vehicles)",37.2,36.2,38.1,41.7,39.4,40.3,42.6,37.0,44.3,39.0,43.0
Light goods vehicle,Involvement rate (per million vehicle-kilometres),1.23,1.19,1.20,1.29,1.23,1.22,1.32,1.19,1.37,1.20,1.36
