Age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Under 20,72,54,69,51,50,39,39,51,66,72,69
20 - 24,828,835,863,953,996,913,920,941,1079,904,960
25 - 29,1683,1700,1804,1761,1798,1783,1991,2075,2502,2135,2229
30 - 34,2397,2278,2361,2435,2336,2276,2444,2282,2690,2298,2863
35 - 39,2435,2379,2472,2657,2545,2692,2833,2664,2952,2442,2921
40 - 44,2459,2386,2491,2549,2655,2586,2701,2501,2979,2659,3148
45 - 49,2748,2667,2579,2563,2566,2576,2680,2334,2713,2341,2769
50 - 54,3265,3133,3117,3066,2836,2806,2758,2212,2596,2114,2495
55 - 59,2811,2908,3007,3157,3105,3128,3223,2526,3083,2384,2740
60 - 64,1824,1908,1912,2117,2159,2473,2650,2323,2692,2332,2761
65 - 69,627,780,902,1129,1150,1265,1420,1136,1460,1475,1886
70 - 74,182,204,258,282,348,408,536,460,731,703,959
75 - 79,72,70,103,89,106,94,120,124,161,188,278
80 - 84,9,20,27,40,21,31,54,40,46,44,55
85 & over,2,2,6,4,3,9,4,13,11,17,17
Unknown,419,405,390,438,538,582,449,381,429,391,464
All,21833,21729,22361,23291,23212,23661,24822,22063,26190,22499,26614
