Class of vehicle,Item,Type of vehicle collision: With collision (Vehicle/ Pedestrian),Type of vehicle collision: With collision (Vehicle/Vehicle),Type of vehicle collision: With collision (Vehicle/Object),Type of vehicle collision: With collision (All),Type of vehicle collision: Without collision,Type of vehicle collision: All
Motor vehicles: Motor cycle,Number involved in accident,108,1547,171,1826,975,2801
Motor vehicles: Motor cycle,Involvement rate (per 1 000 vehicles),1.44,20.64,2.28,24.36,13.01,37.36
Motor vehicles: Motor cycle,Involvement rate (per million vehicle-kilometres),0.22,3.17,0.35,3.75,2.00,5.75
Motor vehicles: Private car,Number involved in accident,966,9242,486,10694,373,11067
Motor vehicles: Private car,Involvement rate (per 1 000 vehicles),1.66,15.92,0.84,18.43,0.64,19.07
Motor vehicles: Private car,Involvement rate (per million vehicle-kilometres),0.14,1.31,0.07,1.52,0.05,1.57
Motor vehicles: Taxi,Number involved in accident,562,4305,145,5012,253,5265
Motor vehicles: Taxi,Involvement rate (per 1 000 vehicles),31.51,241.35,8.13,280.99,14.18,295.17
Motor vehicles: Taxi,Involvement rate (per million vehicle-kilometres),0.23,1.76,0.06,2.05,0.10,2.15
Motor vehicles: Public light bus,Number involved in accident,144,467,12,623,168,791
Motor vehicles: Public light bus,Involvement rate (per 1 000 vehicles),34.93,113.29,2.91,151.14,40.76,191.90
Motor vehicles: Public light bus,Involvement rate (per million vehicle-kilometres),0.45,1.47,0.04,1.96,0.53,2.49
Motor vehicles: Public bus,Number involved in accident,133,860,32,1025,1029,2054
Motor vehicles: Public bus,Involvement rate (per 1 000 vehicles),10.76,69.60,2.59,82.96,83.28,166.24
Motor vehicles: Public bus,Involvement rate (per million vehicle-kilometres),0.17,1.11,0.04,1.32,1.32,2.64
Motor vehicles: Light goods vehicle,Number involved in accident,390,2660,87,3137,111,3248
Motor vehicles: Light goods vehicle,Involvement rate (per 1 000 vehicles),5.16,35.21,1.15,41.52,1.47,42.99
Motor vehicles: Light goods vehicle,Involvement rate (per million vehicle-kilometres),0.16,1.11,0.04,1.31,0.05,1.36
Motor vehicles: Medium & heavy goods vehicles,Number involved in accident,94,922,18,1034,39,1073
Motor vehicles: Medium & heavy goods vehicles,Involvement rate (per 1 000 vehicles),2.30,22.59,0.44,25.33,0.96,26.29
Motor vehicles: Medium & heavy goods vehicles,Involvement rate (per million vehicle-kilometres),0.09,0.87,0.02,0.97,0.04,1.01
Motor vehicles: Private light bus,Number involved in accident,14,62,2,78,12,90
Motor vehicles: Private light bus,Involvement rate (per 1 000 vehicles),4.10,18.16,0.59,22.84,3.51,26.35
Motor vehicles: Private light bus,Involvement rate (per million vehicle-kilometres),0.10,0.44,0.01,0.55,0.09,0.64
Motor vehicles: Tram,Number involved in accident,11,26,0,37,10,47
Motor vehicles: Tram,Involvement rate (per 1 000 vehicles),68.32,161.49,0.00,229.81,62.11,291.93
Motor vehicles: Tram,Involvement rate (per million vehicle-kilometres),2.62,6.18,0.00,8.80,2.38,11.18
Motor vehicles: Light rail vehicle,Number involved in accident,1,3,0,4,0,4
Motor vehicles: Light rail vehicle,Involvement rate (per 1 000 vehicles),6.80,20.41,0.00,27.21,0.00,27.21
Motor vehicles: Light rail vehicle,Involvement rate (per million vehicle-kilometres),0.15,0.44,0.00,0.59,0.00,0.59
Motor vehicles: Other motor vehicles,Number involved in accident,20,122,9,151,23,174
Motor vehicles: Other motor vehicles,Involvement rate (per 1 000 vehicles),-,-,-,-,-,-
Motor vehicles: Other motor vehicles,Involvement rate (per million vehicle-kilometres),-,-,-,-,-,-
Motor vehicles: All,Number involved in accident,2443,20216,962,23621,2993,26614
Motor vehicles: All,Involvement rate (per 1 000 vehicles),2.98,24.68,1.17,28.84,3.65,32.49
Motor vehicles: All,Involvement rate (per million vehicle-kilometres),0.17,1.38,0.07,1.61,0.20,1.82
Non-motor vehicles: Bicycle,Number involved in accident,176,586,130,892,1237,2129
Non-motor vehicles: Handcart,Number involved in accident,0,2,0,2,0,2
Non-motor vehicles: All,Number involved in accident,176,588,130,894,1237,2131
Unknown,Number involved in accident,23,21,2,46,17,63
All,Number involved in accident,2642,20825,1094,24561,4247,28808
