Driver contributory factor,Severity: Fatal,Severity: Serious,Severity: Slight,Severity: All
Exceeding speed limit,1,1,1,3
Driving too fast for road condition,0,1,4,5
Driving too close to kerb,1,4,38,43
Driving too close to vehicle in front,0,108,2640,2748
Driving too close to vehicle alongside,0,1,70,71
Careless lane changing,2,40,1598,1640
Reversing negligently,2,12,419,433
U turning negligently,0,6,88,94
Stopping negligently,0,0,24,24
Starting negligently,2,12,220,234
Disobey traffic signal/light,1,17,185,203
Disobey stop sign (halt),0,6,56,62
Disobey give way sign (slow),0,8,265,273
Disobey double white lines,0,1,12,13
Disobey directions of a police officer,0,0,3,3
Opened door negligently (driver),0,1,27,28
Overtaking in a zebra controlled area,0,1,0,1
Failing to stop at a zebra crossing,0,0,9,9
Failure to signal movement correctly,0,1,0,1
Emerging from side road negligently,0,10,175,185
Driving on wrong side of road,0,3,25,28
Vision affected by atmospheric conditions/sunlight,1,0,2,3
Sleep or fatigue,0,2,7,9
Drug driving,2,0,0,2
Drink driving,0,9,18,27
"Sudden illness, or mental defect",0,4,6,10
Dazzled by other lights,0,0,1,1
Lost control of vehicle,9,135,1570,1714
Improper or illegal turn,0,1,29,30
Overtaking on offside/nearside negligently,1,16,135,152
Turning right/left negligently,11,48,547,606
Rolling backwards/forwards-failed to set handbrake,3,2,39,44
Careless cycling,2,43,467,512
Driving inattentively,45,309,5899,6253
To avoid collision or otherwise : swerving/stopping suddenly,0,15,218,233
Furious/dangerous driving,16,11,25,52
Driving a dangerous vehicle,2,1,8,11
Failing to ensure the safety of passenger,0,21,204,225
Other driver factors,2,18,786,806
No driver factor,29,612,11376,12017
All,132,1480,27196,28808
