,,,,,Table 2C,,,,,,,,,,
A.M. Peak Car Journey Time (Cross-District Routes In New Territories) 2023,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Origin - Destination,Start,Via,Finish,"Distance
(km)","Journey Time
(minutes)",,,,,,,,,,
"Container Port - Lok Ma
Chau (via Route 3)",Container Port Road S near Terminal 8,Container Port Road S - Container Port Road - Kwai Tai Road- Kwai Tsing Road - Tsing Yi Road - Ching Hong Road - Tsing Yi Road W - Tsing Long Highway Slip Road - Route 3 - Yuen Long Highway - Pok Oi INT - Castle Peak Road (Yuen Long) - San Tam Road,"San Tin Highway / Lok Ma
Chau INT",32.4,42.7,,,,,,,,,,
"Lok Ma Chau (via Route 3) -
Container Port",San Tin Highway / Lok Ma Chau INT,- Vice Versa -,"Container Port Road S
near Terminal 8",32.6,43.4,,,,,,,,,,
"Container Port - Lok Ma
Chau (via Tolo Highway)",Container Port Road S near Terminal 8,Container Port Road S - Container Port Road - Kwai Yi Road -Kwai Chung Road - Wo Yi Hop Road - Shing Mun Tunnel Road - Shing Mun Tunnel - Tai Po Road - Tolo Highway - Fanling Highway,"San Tin Highway / Lok Ma
Chau INT",41.6,47.1,,,,,,,,,,
"Lok Ma Chau (via Tolo
Highway) - Container Port",San Tin Highway / Lok Ma Chau INT,- Vice Versa -,"Container Port Road S
near Terminal 8",41.7,63.6,,,,,,,,,,
"Container Port - Lok Ma
Chau (via Tuen Mun Road)",Container Port Road S near Terminal 8,Container Port Road S - Container Port Road - Tsuen Wan Road - Tuen Mun Road - Yuen Long Highway - Castle Peak Road (Yuen Long) - San Tam Road,"San Tin Highway / Lok Ma
Chau INT",43.9,50.0,,,,,,,,,,
Lok Ma Chau (via Tuen Mun Road) - Container Port,San Tin Highway / Lok Ma Chau INT,NT Circular Route - San Tam Road - Castle Peak Road (Yuen Long) - Yuen Long Highway - Tuen Mun Road - Castle Peak Road - Tsuen Wan Road - Kwai Fuk Road - Container Port Road - Container Port Road S,Container Port Road S near Terminal 8,44.4,61.7,,,,,,,,,,
Ma On Shan - Sai Kung,Sai Sha Road J/W Ma On Shan Road,Sai Sha Road - Tai Mong Tsai Road,"Fuk Man Road J/W Tai
Mong Tsai Road",10.5,15.6,,,,,,,,,,
Sai Kung - Ma On Shan,Fuk Man Road J/W Tai Mong Tsai Road,- Vice Versa -,"Sai Sha Road J/W Ma On
Shan Road",11.0,15.7,,,,,,,,,,
Sha Tin - Tai Po,Sha Tin Centre Street near Sha Tin Plaza,Sha Tin Centre Street - Wang Pok Street - Yuen Wo Road -Sha Tin Rural Committee Road - Tai Chung Kiu Road - Tate's Cairn Highway - Tolo Highway - Tai Po Road (Yuen Chau Tsai),Tai Po Road (Yuen Chau Tsai) J/W Nam Wan Road,12.0,18.5,,,,,,,,,,
Tai Po - Sha Tin,Tai Po Road (Yuen Chau Tsai) J/W Nam Wan Road,Tai Po Road (Yuen Chau Tsai) - Tolo Highway - Tate's Cairn Highway - Tai Chung Kiu Road - Sha Tin Rural Committee Road- Yuen Wo Road - Tam Kon Po Street - Sha Tin Centre Street,Sha Tin Centre Street near Sha Tin Plaza,12.1,23.5,,,,,,,,,,
Tai Po - Yuen Long,Kwong Fuk Road J/W Po Heung Street,Kwong Fuk Road - Tai Po Road (Yuen Chau Tsai) - Tolo Highway - Fanling Highway - San Tin Highway - Sam Tin Road - Castle Peak Road (Yuen Long) - Long Yat Road - Castle Peak Road (Yuen Long),"Castle Peak Road (Yuen
Long) J/W Tai Tong Road",26.4,33.1,,,,,,,,,,
Yuen Long - Tai Po,Castle Peak Road (Yuen Long) J/W Tai Tong Road,- Vice Versa -,"Kwong Fuk Road J/W Po
Heung Street",26.6,30.8,,,,,,,,,,
Tsing Yi - Tung Chung,Cheung Tsing Tunnel East Portal,Cheung Tsing Tunnel - North Lantau Highway,Airport North INT,24.1,18.9,,,,,,,,,,
Tung Chung - Tsing Yi,Airport North INT,- Vice Versa -,"Cheung Tsing Tunnel East
Portal",24.0,19.2,,,,,,,,,,
Tsing Yi - Yuen Long,"Cheung Tsing Tunnel East
Portal",Cheung Tsing Tunnel - Ting Kau Bridge - Tai Lam Tunnel -Route 3 (Country Park Section) - Castle Peak Road (Yuen Long),"Castle Peak Road - Yuen
Long J/W Tai Tong Road",17.7,20.2,,,,,,,,,,
Yuen Long - Tsing Yi,Castle Peak Road J/W Tai Tong Road,- Vice Versa -,"Cheung Tsing Tunnel East
Portal",17.9,20.7,,,,,,,,,,
"Tsuen Wan (Discovery Park)
- Tuen Mun",Discovery Park North Portal,Cheung Pei Shan Road - Castle Peak Road (Tsuen Wan)-Tuen Mun Road,"Tuen Mun Road J/W Pui
To Road FO",17.7,15.4,,,,,,,,,,
"Tuen Mun - Tsuen Wan
(Discovery Park)",Tuen Mun Road J/W Pui To Road FO,- Vice Versa -,"Discovery Park North
Portal",17.7,17.2,,,,,,,,,,
Tuen Mun - Yuen Long,Tuen Mun Road J/W Pui To Road FO,Tuen Mun Road - Castle Peak Road,"Castle Peak Road -Yuen
Long J/W Tai Tong Road",8.7,16.1,,,,,,,,,,
Yuen Long - Tuen Mun,Castle Peak Road - Yuen Long J/W Tai Tong Road,- Vice Versa -,"Access Road to Castle
Peak Road - San Hui",7.2,19.4,,,,,,,,,,
