age,degree_of_injury_killed,degree_of_injury_seriously_injured,degree_of_injury_slightly_injured,degree_of_injury_all
Under 5,0,4,28,32
5 - 9,0,5,67,72
10 - 14,0,8,91,99
15 - 19,0,8,60,68
20 - 24,0,17,105,122
25 - 29,0,10,134,144
30 - 34,1,14,139,154
35 - 39,0,12,139,151
40 - 44,1,16,140,157
45 - 49,2,20,140,162
50 - 54,5,23,175,203
55 - 59,6,38,217,261
60 - 64,8,42,226,276
65 - 69,10,41,203,254
70 - 74,4,22,162,188
75 - 79,3,26,108,137
80 - 84,9,20,59,88
85 & over,13,16,88,117
Unknown,0,0,66,66
All,62,342,2347,2751
