age,item,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Under 5 ,Number,63.0,62.0,66.0,66.0,52.0,47.0,32.0,17.0,39.0,31.0,32.0
Under 5 ,Number per 1000 population,0.24,0.23,0.23,0.24,0.19,0.18,0.12,0.07,0.17,0.15,0.16
5 - 9,Number,113.0,143.0,137.0,129.0,93.0,114.0,89.0,54.0,87.0,56.0,72.0
5 - 9,Number per 1000 population,0.46,0.54,0.49,0.44,0.31,0.37,0.29,0.18,0.3,0.21,0.27
10 - 14,Number,193.0,181.0,137.0,119.0,155.0,136.0,115.0,55.0,110.0,82.0,99.0
10 - 14,Number per 1000 population,0.67,0.66,0.52,0.46,0.59,0.5,0.41,0.19,0.38,0.28,0.32
15 - 19 ,Number,150.0,164.0,139.0,122.0,104.0,91.0,88.0,49.0,68.0,54.0,68.0
15 - 19 ,Number per 1000 population,0.37,0.42,0.38,0.36,0.33,0.31,0.31,0.18,0.26,0.2,0.23
20 - 24 ,Number,197.0,201.0,170.0,175.0,145.0,160.0,121.0,83.0,118.0,87.0,122.0
20 - 24 ,Number per 1000 population,0.43,0.45,0.38,0.39,0.33,0.38,0.3,0.23,0.36,0.29,0.38
25 - 29 ,Number,219.0,214.0,195.0,206.0,178.0,156.0,148.0,150.0,136.0,103.0,144.0
25 - 29 ,Number per 1000 population,0.42,0.42,0.38,0.4,0.35,0.31,0.3,0.31,0.3,0.24,0.33
30 - 34 ,Number,263.0,252.0,190.0,206.0,149.0,166.0,151.0,113.0,153.0,118.0,154.0
30 - 34 ,Number per 1000 population,0.46,0.44,0.33,0.36,0.26,0.3,0.27,0.21,0.29,0.23,0.3
35 - 39 ,Number,252.0,204.0,226.0,217.0,190.0,186.0,178.0,145.0,155.0,123.0,151.0
35 - 39 ,Number per 1000 population,0.45,0.37,0.4,0.38,0.32,0.31,0.29,0.24,0.26,0.22,0.27
40 - 44 ,Number,240.0,281.0,261.0,232.0,229.0,213.0,185.0,145.0,174.0,160.0,157.0
40 - 44 ,Number per 1000 population,0.42,0.49,0.45,0.41,0.4,0.37,0.32,0.25,0.3,0.27,0.26
45 - 49 ,Number,267.0,268.0,262.0,238.0,202.0,251.0,206.0,161.0,225.0,161.0,162.0
45 - 49 ,Number per 1000 population,0.44,0.46,0.46,0.42,0.35,0.43,0.35,0.27,0.39,0.28,0.29
50 - 54 ,Number,347.0,290.0,273.0,280.0,234.0,233.0,223.0,196.0,216.0,207.0,203.0
50 - 54 ,Number per 1000 population,0.53,0.44,0.42,0.44,0.37,0.39,0.38,0.34,0.38,0.36,0.35
55 - 59 ,Number,344.0,296.0,332.0,288.0,293.0,262.0,231.0,212.0,251.0,231.0,261.0
55 - 59 ,Number per 1000 population,0.6,0.5,0.54,0.46,0.46,0.41,0.35,0.33,0.4,0.38,0.44
60 - 64,Number,230.0,270.0,274.0,264.0,284.0,277.0,264.0,215.0,269.0,279.0,276.0
60 - 64,Number per 1000 population,0.52,0.59,0.58,0.53,0.54,0.49,0.45,0.36,0.44,0.44,0.43
65 - 69 ,Number,156.0,188.0,228.0,242.0,236.0,265.0,243.0,205.0,223.0,239.0,254.0
65 - 69 ,Number per 1000 population,0.53,0.58,0.63,0.61,0.57,0.61,0.54,0.44,0.45,0.46,0.45
70 - 74 ,Number,168.0,157.0,142.0,165.0,156.0,178.0,179.0,168.0,212.0,201.0,188.0
70 - 74 ,Number per 1000 population,0.79,0.74,0.66,0.75,0.63,0.64,0.58,0.49,0.57,0.51,0.44
75 - 79 ,Number,169.0,169.0,155.0,161.0,135.0,133.0,133.0,113.0,123.0,125.0,137.0
75 - 79 ,Number per 1000 population,0.8,0.81,0.74,0.78,0.69,0.7,0.71,0.61,0.62,0.57,0.54
80 - 84 ,Number,149.0,119.0,171.0,165.0,138.0,144.0,133.0,78.0,125.0,80.0,88.0
80 - 84 ,Number per 1000 population,0.95,0.72,1.03,0.99,0.81,0.84,0.77,0.46,0.76,0.5,0.55
85 & over ,Number,106.0,98.0,122.0,107.0,115.0,119.0,106.0,91.0,98.0,87.0,117.0
85 & over ,Number per 1000 population,0.74,0.64,0.75,0.62,0.63,0.61,0.51,0.42,0.43,0.38,0.5
Unknown ,Number,68.0,47.0,33.0,47.0,102.0,75.0,80.0,54.0,33.0,41.0,66.0
All,Number,3694.0,3604.0,3513.0,3429.0,3190.0,3206.0,2905.0,2304.0,2815.0,2465.0,2751.0
All,Number per 1000 population,0.51,0.5,0.48,0.47,0.43,0.43,0.39,0.31,0.38,0.34,0.37
