tunnel_area,severity_fatal,severity_serious,severity_slight,severity_all,accident_rate_per_million_vehicle-kilometres
Cross Harbour Tunnel,0,1,66,67,0.79
Western Harbour Crossing,1,3,43,47,0.8
Eastern Harbour Crossing,0,2,30,32,0.23
Tate's Cairn Tunnel,0,1,35,36,0.39
Lion Rock Tunnel,0,0,33,33,0.49
Tseung Kwan O Tunnel,0,2,31,33,0.48
Shing Mun Tunnels,0,4,23,27,0.3
Aberdeen Tunnel,0,4,20,24,0.52
Kai Tak Tunnel,0,0,24,24,0.78
Tai Lam Tunnel,1,3,18,22,0.17
Cheung Tsing Tunnel,0,1,16,17,0.16
"Tai Wai Tunnel, Sha Tin Heights Tunnel
and Eagle's Nest Tunnel",0,0,16,16,0.13
Tuen Mun-Chek Lap Kok Tunnel,0,0,14,14,0.16
Central-Wan Chai Bypass Tunnel,0,1,10,11,0.19
Tseung Kwan O-Lam Tin Tunnel,0,1,7,8,0.27
Lung Shan Tunnel and Cheung Shan Tunnel,0,0,4,4,0.0
Nam Wan Tunnel,0,2,1,3,0.07
Discovery Bay Tunnel Link,0,0,1,1,0.0
Airport Tunnel,0,0,0,0,0.0
Scenic Hill Tunnel,0,0,0,0,0.0
All above tunnel areas,2,25,392,419,0.0
All roads ,96,1000,16093,17189,1.17
