hour_of_the_day,item,monday,tuesday,wednesday,thursday,friday,saturday,sunday,all_days
0000 - 0059,Number,58.0,44.0,61.0,56.0,69.0,66.0,73.0,427.0
0100 - 0159,Number,35.0,29.0,23.0,51.0,47.0,57.0,38.0,280.0
0200 - 0259,Number,27.0,24.0,24.0,28.0,31.0,45.0,48.0,227.0
0300 - 0359,Number,16.0,14.0,16.0,12.0,17.0,25.0,25.0,125.0
0400 - 0459,Number,9.0,23.0,15.0,15.0,15.0,25.0,30.0,132.0
0500 - 0559,Number,13.0,20.0,14.0,26.0,25.0,32.0,34.0,164.0
0600 - 0659,Number,53.0,40.0,50.0,49.0,38.0,38.0,37.0,305.0
0700 - 0759,Number,127.0,95.0,135.0,121.0,112.0,70.0,53.0,713.0
0800 - 0859,Number,180.0,150.0,183.0,191.0,160.0,80.0,62.0,1006.0
0900 - 0959,Number,102.0,157.0,124.0,128.0,147.0,105.0,94.0,857.0
1000 - 1059,Number,118.0,129.0,113.0,97.0,128.0,137.0,104.0,826.0
1100 - 1159,Number,130.0,105.0,105.0,152.0,126.0,163.0,136.0,917.0
1200 - 1259,Number,125.0,126.0,146.0,140.0,129.0,152.0,146.0,964.0
1300 - 1359,Number,131.0,128.0,132.0,135.0,147.0,162.0,147.0,982.0
1400 - 1459,Number,141.0,134.0,138.0,141.0,134.0,174.0,164.0,1026.0
1500 - 1559,Number,146.0,180.0,138.0,152.0,164.0,152.0,135.0,1067.0
1600 - 1659,Number,177.0,160.0,155.0,174.0,147.0,179.0,145.0,1137.0
1700 - 1759,Number,157.0,176.0,167.0,166.0,168.0,188.0,157.0,1179.0
1800 - 1859,Number,190.0,176.0,180.0,187.0,187.0,204.0,142.0,1266.0
1900 - 1959,Number,129.0,152.0,145.0,147.0,154.0,108.0,100.0,935.0
2000 - 2059,Number,91.0,102.0,109.0,118.0,85.0,92.0,97.0,694.0
2100 - 2159,Number,79.0,96.0,98.0,128.0,88.0,115.0,91.0,695.0
2200 - 2259,Number,97.0,93.0,89.0,102.0,117.0,105.0,95.0,698.0
2300 - 2359,Number,62.0,83.0,68.0,81.0,98.0,96.0,79.0,567.0
All hours,Number,2393.0,2436.0,2428.0,2597.0,2533.0,2570.0,2232.0,17189.0
0000 - 0059,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17
0100 - 0159,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77
0200 - 0259,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.62
0300 - 0359,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34
0400 - 0459,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36
0500 - 0559,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
0600 - 0659,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.84
0700 - 0759,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.95
0800 - 0859,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.76
0900 - 0959,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35
1000 - 1059,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26
1100 - 1159,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.51
1200 - 1259,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64
1300 - 1359,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.69
1400 - 1459,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.81
1500 - 1559,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.92
1600 - 1659,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.12
1700 - 1759,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.23
1800 - 1859,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.47
1900 - 1959,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56
2000 - 2059,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
2100 - 2159,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9
2200 - 2259,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.91
2300 - 2359,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55
All hours,Average number,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.96
All hours,Average number in the day,46.0,46.8,46.7,49.9,48.7,49.4,42.1,47.1
