selected_class_of_motor_vehicle,item,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Motor cycle,Number involved in accident,2222.0,2281.0,2328.0,2355.0,2280.0,2386.0,2678.0,3003.0,3376.0,2910.0,2801.0
Motor cycle,Number licensed (mid-year),40608.0,43082.0,46134.0,49098.0,51596.0,54395.0,56901.0,61574.0,69150.0,73637.0,74969.0
Motor cycle,Annual vehicle-kilometres (millions),295.0,306.0,326.0,339.0,360.0,361.0,392.0,466.0,508.0,488.0,487.0
Motor cycle,"Involvement rate (per 1,000 vehicles)",54.7,52.9,50.5,48.0,44.2,43.9,47.1,48.8,48.8,39.5,37.4
Motor cycle,Involvement rate (per million vehicle-kilometres),7.53,7.45,7.14,6.95,6.34,6.61,6.83,6.45,6.65,5.96,5.75
Private car,Number involved in accident,7093.0,7224.0,7757.0,8207.0,8607.0,8813.0,9310.0,8895.0,10702.0,9055.0,11067.0
Private car,Number licensed (mid-year),464595.0,486168.0,509207.0,528849.0,545753.0,560158.0,570239.0,572211.0,581863.0,572418.0,580376.0
Private car,Annual vehicle-kilometres (millions),5262.0,5323.0,5591.0,5929.0,5998.0,6158.0,6382.0,6331.0,6602.0,6496.0,7038.0
Private car,"Involvement rate (per 1,000 vehicles)",15.3,14.9,15.2,15.5,15.8,15.7,16.3,15.5,18.4,15.8,19.1
Private car,Involvement rate (per million vehicle-kilometres),1.35,1.36,1.39,1.38,1.43,1.43,1.46,1.41,1.62,1.39,1.57
Taxi,Number involved in accident,4395.0,4211.0,4332.0,4493.0,4359.0,4436.0,4810.0,3857.0,4637.0,4042.0,5265.0
Taxi,Number licensed (mid-year),18114.0,18084.0,18040.0,18156.0,18144.0,18144.0,18131.0,18067.0,18032.0,17969.0,17837.0
Taxi,Annual vehicle-kilometres (millions),2475.0,2466.0,2534.0,2564.0,2472.0,2535.0,2462.0,2114.0,2325.0,2357.0,2444.0
Taxi,"Involvement rate (per 1,000 vehicles)",242.6,232.9,240.1,247.5,240.2,244.5,265.3,213.5,257.2,224.9,295.2
Taxi,Involvement rate (per million vehicle-kilometres),1.78,1.71,1.71,1.75,1.76,1.75,1.95,1.82,1.99,1.71,2.15
Public light bus,Number involved in accident,1128.0,1085.0,1105.0,1080.0,1010.0,958.0,922.0,669.0,759.0,673.0,791.0
Public light bus,Number licensed (mid-year),4348.0,4341.0,4347.0,4343.0,4343.0,4327.0,4328.0,4305.0,4235.0,4151.0,4122.0
Public light bus,Annual vehicle-kilometres (millions),399.0,415.0,423.0,420.0,395.0,382.0,369.0,327.0,328.0,299.0,318.0
Public light bus,"Involvement rate (per 1,000 vehicles)",259.4,249.9,254.2,248.7,232.6,221.4,213.0,155.4,179.2,162.1,191.9
Public light bus,Involvement rate (per million vehicle-kilometres),2.83,2.61,2.61,2.57,2.56,2.51,2.5,2.04,2.32,2.25,2.49
Public bus,Number involved in accident,2847.0,2850.0,2762.0,2722.0,2726.0,2799.0,2633.0,1720.0,1888.0,1585.0,2054.0
Public bus,Number licensed (mid-year),12701.0,12790.0,12785.0,12772.0,12941.0,13076.0,13271.0,13200.0,12648.0,12256.0,12356.0
Public bus,Annual vehicle-kilometres (millions),833.0,809.0,793.0,802.0,794.0,814.0,776.0,618.0,648.0,677.0,778.0
Public bus,"Involvement rate (per 1,000 vehicles)",224.2,222.8,216.0,213.1,210.6,214.1,198.4,130.3,149.3,129.3,166.2
Public bus,Involvement rate (per million vehicle-kilometres),3.42,3.52,3.48,3.39,3.43,3.44,3.39,2.78,2.91,2.34,2.64
Light goods vehicle,Number involved in accident,2706.0,2621.0,2708.0,2947.0,2790.0,2896.0,3086.0,2709.0,3316.0,2956.0,3248.0
Light goods vehicle,Number licensed (mid-year),72694.0,72465.0,71092.0,70673.0,70832.0,71822.0,72525.0,73293.0,74879.0,75855.0,75551.0
Light goods vehicle,Annual vehicle-kilometres (millions),2199.0,2199.0,2256.0,2285.0,2273.0,2374.0,2331.0,2281.0,2420.0,2466.0,2390.0
Light goods vehicle,"Involvement rate (per 1,000 vehicles)",37.2,36.2,38.1,41.7,39.4,40.3,42.6,37.0,44.3,39.0,43.0
Light goods vehicle,Involvement rate (per million vehicle-kilometres),1.23,1.19,1.2,1.29,1.23,1.22,1.32,1.19,1.37,1.2,1.36
Medium & heavy goods vehicles,Number involved in accident,1085.0,1125.0,1063.0,1167.0,1162.0,1083.0,1093.0,1008.0,1204.0,1048.0,1073.0
Medium & heavy goods vehicles,Number licensed (mid-year),41688.0,41886.0,41875.0,41818.0,42346.0,42851.0,42657.0,42150.0,41721.0,40954.0,40817.0
Medium & heavy goods vehicles,Annual vehicle-kilometres (millions),1252.0,1204.0,1236.0,1219.0,1238.0,1203.0,1156.0,1105.0,1179.0,1105.0,1065.0
Medium & heavy goods vehicles,"Involvement rate (per 1,000 vehicles)",26.0,26.9,25.4,27.9,27.4,25.3,25.6,23.9,28.9,25.6,26.3
Medium & heavy goods vehicles,Involvement rate (per million vehicle-kilometres),0.87,0.93,0.86,0.96,0.94,0.9,0.95,0.91,1.02,0.95,1.01
Private light bus,Number involved in accident,96.0,113.0,103.0,101.0,96.0,86.0,102.0,47.0,91.0,70.0,90.0
