age,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
0-10,119,121,153,104,104,101,85,119,146,79,71
11 - 14,160,180,194,124,136,142,154,198,225,162,165
15 - 19,363,319,383,280,232,241,200,328,364,267,239
20 - 24,329,261,306,203,172,149,121,246,241,193,149
25 - 29,251,240,239,172,160,128,108,210,263,164,129
30 - 34,244,202,186,161,133,120,96,180,229,183,131
35 - 39,183,181,149,166,146,125,127,193,221,163,133
40 - 44,208,195,181,161,170,135,126,213,230,146,181
45 - 49,173,189,178,161,144,128,139,226,248,187,130
50 - 54,229,200,202,211,161,133,156,229,228,195,161
55 - 59,184,178,191,191,166,176,169,242,253,169,145
60 - 64,117,121,130,126,138,134,140,221,241,179,159
65 - 69,60,66,68,59,83,67,83,131,132,130,109
70 - 74,30,29,29,22,29,46,40,51,68,53,60
75 - 79,20,22,24,18,18,27,19,24,18,25,34
80 - 84,6,13,16,10,14,13,12,14,19,12,12
85 & over,3,0,2,6,5,10,9,11,11,7,6
Unknown,40,59,54,63,50,67,55,111,112,101,115
All,2719,2576,2685,2238,2061,1942,1839,2947,3249,2415,2129
