year_of_manufacture,class_of_motor_vehicle_motor_cycle,class_of_motor_vehicle_private_car,class_of_motor_vehicle_taxi,class_of_motor_vehicle_public_light_bus,class_of_motor_vehicle_public_bus,class_of_motor_vehicle_light_goods_vehicle,class_of_motor_vehicle_medium_&_heavy_goods_vehicles
Before 2007,139,922,418,267,25,2,1
2007,34,357,63,21,9,26,1
2008,35,502,84,6,9,93,19
2009,26,358,74,15,38,47,9
2010,43,527,111,28,141,119,39
2011,54,556,114,6,56,108,54
2012,81,641,67,15,121,145,48
2013,81,775,314,5,160,200,69
2014,128,868,292,12,147,314,132
2015,133,946,795,33,333,325,143
2016,166,730,492,37,239,221,82
2017,178,685,743,74,226,318,106
2018,185,573,177,69,172,299,88
2019,193,464,385,101,87,244,65
2020,452,444,202,74,112,172,52
2021,438,534,408,0,60,306,80
2022,349,751,392,5,51,257,66
2023,69,350,86,5,13,36,13
Unknown,17,84,48,18,55,16,6
All,2801,11067,5265,791,2054,3248,1073
