city,year,fatalities_per_1_000_000_population
Kuala Lumpur,2022,108
Los Angeles,2022,93
Chicago,2022,72
Beijing,2022,48
Luxembourg,2023,39
Bangkok,2023,36
Busan,2022,34
New York City,2023,31
Shanghai,2022,31
San Francisco,2023,27
Taipei,2023,24
Melbourne,2023,23
Singapore,2023,23
Seoul,2023,19
Frankfurt,2023,18
Osaka Prefecture,2023,17
Greater Manchester,2023,15
West Midlands,2023,15
Hamburg,2023,15
Toronto,2023,14
Montreal,2023,14
Hong Kong,2023,13
Macau,2023,12
Guangzhou,2023,12
Stockholm,2023,11
Shenzhen,2023,11
Greater London,2023,11
Tokyo Metropolis,2023,10
Berlin,2023,9
