key_statistics,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Basic Road Traffic Statistics: Number of motor vehicles licensed (mid-year),665643.0,690052.0,714927.0,737312.0,757705.0,776729.0,790336.0,797262.0,815203.0,810413.0,819129.0
Basic Road Traffic Statistics: Number of private car licensed (mid-year),464595.0,486168.0,509207.0,528849.0,545753.0,560158.0,570239.0,572211.0,581863.0,572418.0,580376.0
Basic Road Traffic Statistics: Road length-carriageways (km),2093.0,2099.0,2101.0,2107.0,2112.0,2123.0,2127.0,2150.0,2193.0,2223.0,2239.0
Basic Road Traffic Statistics: Annual vehicle-kilometres (millions),12835.6,12844.2,13288.2,13691.7,13665.4,13961.8,14011.2,13344.2,14142.7,14017.8,14661.6
Basic Road Traffic Statistics: Population (mid-year in thousands),7178.9,7229.5,7291.3,7336.6,7393.2,7452.6,7507.9,7481.0,7413.1,7346.1,7536.1
Basic Road Traffic Statistics: Licensed motor vehicle (per 1 000 persons),92.7,95.4,98.1,100.5,102.5,104.2,105.3,106.6,110.0,110.3,108.7
Basic Road Traffic Statistics: Licensed private car (per 1 000 persons),64.7,67.2,69.8,72.1,73.8,75.2,76.0,76.5,78.5,77.9,77.0
Basic Road Traffic Statistics: Number of motor vehicles (per km of road),318.0,329.0,340.0,350.0,359.0,366.0,372.0,371.0,372.0,365.0,366.0
Road Traffic Casualty and Accident Statistics: Number of casualties (Killed),130.0,100.0,122.0,132.0,108.0,135.0,113.0,97.0,97.0,90.0,96.0
Road Traffic Casualty and Accident Statistics: Number of casualties (Seriously injured),2630.0,2615.0,2703.0,2492.0,2214.0,1840.0,1996.0,2021.0,1907.0,1107.0,1093.0
Road Traffic Casualty and Accident Statistics: Number of casualties (Slightly injured),17836.0,17139.0,17556.0,17508.0,17566.0,17662.0,18109.0,16242.0,19747.0,17334.0,21080.0
Road Traffic Casualty and Accident Statistics: Number of casualties (All),20596.0,19854.0,20381.0,20132.0,19888.0,19637.0,20218.0,18360.0,21751.0,18531.0,22269.0
Road Traffic Casualty and Accident Statistics: Number of accidents (Fatal),128.0,99.0,117.0,129.0,104.0,107.0,107.0,96.0,94.0,89.0,96.0
Road Traffic Casualty and Accident Statistics: Number of accidents (Serious),2476.0,2508.0,2510.0,2379.0,2070.0,1682.0,1831.0,1912.0,1824.0,1046.0,1000.0
Road Traffic Casualty and Accident Statistics: Number of accidents (Slight),13485.0,13183.0,13543.0,13591.0,13551.0,14146.0,14164.0,13290.0,15913.0,13972.0,16093.0
Road Traffic Casualty and Accident Statistics: Number of accidents (All),16089.0,15790.0,16170.0,16099.0,15725.0,15935.0,16102.0,15298.0,17831.0,15107.0,17189.0
Road Traffic Casualty and Accident Statistics: Casualty rate (per accident),1.28,1.26,1.26,1.25,1.26,1.23,1.26,1.2,1.22,1.23,1.3
Road Traffic Casualty and Accident Statistics: Casualty rate (per 1 000 population),2.87,2.75,2.8,2.74,2.69,2.63,2.69,2.45,2.93,2.52,2.95
Road Traffic Casualty and Accident Statistics: Casualty rate (per 1 000 licensed vehicles),30.9,28.8,28.5,27.3,26.2,25.3,25.6,23.0,26.7,22.9,27.2
Road Traffic Casualty and Accident Statistics: Fatality rate (per 1 000 casualties),6.31,5.04,5.99,6.56,5.43,6.87,5.59,5.28,4.46,4.86,4.31
Road Traffic Casualty and Accident Statistics: Fatality rate (per 1 000 accidents),8.08,6.33,7.54,8.2,6.87,8.47,7.02,6.34,5.44,5.96,5.58
Road Traffic Casualty and Accident Statistics: Fatality rate (per 1 000 000 population),18.1,13.8,16.7,18.0,14.6,18.1,15.1,13.0,13.1,12.3,12.7
Road Traffic Casualty and Accident Statistics: Fatality rate (per 1 000 total registered deaths in HK),3.0,2.19,2.61,2.83,2.35,2.84,2.32,1.91,1.88,1.46,1.69
Road Traffic Casualty and Accident Statistics: Accident rate (per 1 000 population),2.24,2.18,2.22,2.19,2.13,2.14,2.14,2.04,2.41,2.06,2.28
Road Traffic Casualty and Accident Statistics: Accident rate (per 1 000 licensed vehicles),24.2,22.9,22.6,21.8,20.8,20.5,20.4,19.2,21.9,18.6,21.0
Road Traffic Casualty and Accident Statistics: Accident rate (per kilometre of road),7.69,7.52,7.7,7.64,7.45,7.51,7.57,7.12,8.13,6.8,7.68
Road Traffic Casualty and Accident Statistics: Accident rate (per million vehicle-kilometres),1.25,1.23,1.22,1.18,1.15,1.14,1.15,1.15,1.26,1.08,1.17
Vehicle Involvements Statistics: Number of vehicle involvements (motor vehicle),21833.0,21729.0,22361.0,23291.0,23212.0,23661.0,24822.0,22063.0,26190.0,22499.0,26614.0
Vehicle Involvements Statistics: Number of vehicle involvements (non-motor vehicle),2840.0,2703.0,2824.0,2367.0,2160.0,2065.0,1867.0,2996.0,3313.0,2468.0,2194.0
Vehicle Involvements Statistics: Number of vehicle involvements (All),24673.0,24432.0,25185.0,25658.0,25372.0,25726.0,26689.0,25059.0,29503.0,24967.0,28808.0
Vehicle Involvements Statistics: Motor vehicle involvement rate (per 1 000 licensed vehicles),32.8,31.5,31.3,31.6,30.6,30.5,31.4,27.7,32.1,27.8,32.5
Vehicle Involvements Statistics: Motor vehicle involvement rate (per million vehicle-kilometres),1.7,1.69,1.68,1.7,1.7,1.69,1.77,1.65,1.85,1.61,1.82
